,Date,Case_Count,Num_Tweets,Cases_Per_Day,Deaths,Acutely_Ill,Hospitalized,Recovered,Positive_Tests,Negative_Tests,Total_Tests,Death_Rate,Hospitalization_Rate
0,07_13_2020,116935,15,2729.1,3054,,13685.0,,123963,1007071,1131034,0.02611707358789071,0.1170308290930859
1,07_14_2020,120572,20,2729.1,3054,,13685.0,,123963,1007071,1131034,0.025329263842351457,0.11350064691636533
2,07_15_2020,123963,10,2729.1,3054,,13685.0,,123963,1007071,1131034,0.024636383436993297,0.11039584392117002
3,07_16_2020,103890,18,2729.1,3054,,13685.0,,123963,1007071,1131034,0.02939647704302628,0.1317258638945038
4,07_17_2020,103890,10,2729.1,3054,,13685.0,,123963,1007071,1131034,0.02939647704302628,0.1317258638945038
