,Case_Count,Num_Tweets,State
0,46962,2,AL
1,1222,0,AK
2,0,0,AS
3,108614,6,AZ
4,25246,4,AR
5,292560,44,CA
6,35099,13,CO
7,47108,0,CT
8,12462,0,DE
9,0,0,DC
10,223783,21,FL
11,103890,10,GA
12,0,0,GU
13,1094,0,HI
14,8969,5,ID
15,150554,5,IL
16,49063,1,IN
17,32624,3,IA
18,17332,0,KS
19,17919,11,KY
20,70151,2,LA
21,3460,2,ME
22,70861,11,MD
23,110602,7,MA
24,74551,8,MI
25,39589,1,MN
26,32888,0,MS
27,25590,2,MO
28,1371,1,MT
29,20425,1,NE
30,24301,5,NV
31,5952,0,NH
32,174039,7,NJ
33,14017,2,NM
34,398929,43,NY
35,77687,7,NC
36,3971,0,ND
37,0,0,MP
38,60181,8,OH
39,17894,3,OK
40,10817,3,OR
41,96725,7,PA
42,0,0,PR
43,17204,1,RI
44,48909,5,SC
45,7242,1,SD
46,55986,3,TN
47,224929,22,TX
48,26755,2,UT
49,1256,0,VT
50,0,0,VI
51,67375,6,VA
52,37941,4,WA
53,3707,2,WV
54,33154,1,WI
55,1740,0,WY
56,8287,1,LAOrleans
57,26969,2,PAPhiladelphia
58,6854,1,NJMorris
59,45,1,IDBonner
60,13343,1,UTSalt Lake
61,217777,8,NYNew York
62,9362,1,NJMonmouth
63,123256,7,CALos Angeles
64,0,3,NYKings
65,199,1,WAIsland
66,18920,1,NJEssex
67,70128,1,AZMaricopa
68,233,1,WIMarathon
69,3232,1,CAMarin
70,253,1,ORLane
71,9358,2,GAFulton
72,2692,1,MOSt. Louis
73,93496,3,ILCook
74,8071,1,MDBaltimore City
75,23781,2,FLBroward
76,1963,1,NELancaster
77,1819,1,WASpokane
78,53974,1,FLMiami-Dade
79,894,1,ORClackamas
80,17842,2,CASan Diego
81,2608,1,ORMultnomah
82,20225,2,CAOrange
83,0,4,NYNew York (Manhattan)
84,7563,1,CODenver
85,1515,2,TNWilliamson
86,4776,1,CASacramento
87,3652,1,FLSeminole
88,543,1,OHMedina
89,473,1,TXParker
90,41799,1,NYSuffolk
91,6471,2,NCWake
92,0,1,VACity of Fredericksburg
93,29160,1,TXDallas
94,16342,1,MAEssex
95,1016,1,AZYavapai
96,40012,1,TXHarris
97,2836,1,OHLucas
98,3431,3,IDAda
99,0,2,NYBronx
100,79,1,CORoutt
101,2061,1,AZSanta Cruz
102,0,1,MDPrince Georges
103,13489,1,NCMecklenburg
104,42122,1,NYNassau
