,Case_Count,Num_Tweets,State,Lat,Lon,Cases_Per_Day,Deaths,Acutely_Ill,Hospitalized,Recovered,Positive_Tests,Negative_Tests,Total_Tests,Population,Death_Rate,Hospitalization_Rate
35,20235,2,OK,35.007752,-97.092877,511.50,428,4677,2116,16635,21740,419554,441294,3956971,0.02115147022485792,0.10457128737336298
36,12170,5,OR,43.804133,-120.554201,268.05,244,9432,1254,3129,12805,292651,305456,4217737,0.020049301561216107,0.10304026294165981
37,99794,16,PA,41.203322,-77.194525,679.05,6931,19899,NA,74436,101266,846017,947283,12801989,0.06945307333106199,NA
38,17312,4,RI,41.580095,-71.477429,49.10,985,14911,2070,1692,17588,157070,174658,1059361,0.05689695009242144,0.11957024029574861
39,56648,5,SC,33.836081,-81.163725,1624.60,993,35547,3744,23849,60389,457092,517481,5148714,0.017529303770653863,0.06609235983618134
40,7572,0,SD,43.969515,-99.901813,57.65,109,864,744,6599,7572,84592,92164,884659,0.01439513998943476,0.098256735340729
41,61960,4,TN,35.517491,-86.58044699999999,1477.65,767,27749,3378,38272,66788,1005100,1071888,6829174,0.012378954163976759,0.054519044544867654
42,262762,24,TX,31.968598999999998,-99.901813,7572.25,3362,133817,NA,142398,279577,2319103,2598680,28995881,0.012794848570188993,NA
43,29484,2,UT,39.32098,-111.093731,584.70,226,12141,1888,18111,30478,394043,424521,3205958,0.0076651743318409985,0.06403473070139737
44,1305,0,VT,44.558803000000005,-72.577841,6.05,56,150,NA,1099,1305,76319,77624,623989,0.04291187739463601,NA
45,70670,8,VA,37.431573,-78.656894,646.45,1977,61043,10550,9423,72443,758407,830850,8535519,0.02797509551436253,0.14928541106551577
46,40656,11,WA,47.751073999999996,-120.74013899999999,621.75,1404,NA,4778,NA,42304,665970,708274,7614893,0.0345336481700118,0.11752262888626525
47,4407,0,WV,38.597626,-80.454903,88.80,97,1328,NA,2982,4407,209605,214012,1792147,0.02201043793964148,NA
48,36448,7,WI,43.784440000000004,-88.787868,607.15,826,7805,3892,29275,37906,676638,714544,5822434,0.022662423178226514,0.10678226514486391
49,1950,0,WY,43.075967999999996,-107.29028400000001,33.40,22,466,128,1462,1950,38078,40028,578759,0.011282051282051283,0.06564102564102564
