,Case_Count,Num_Tweets,State,Lat,Lon,Cases_Per_Day,Deaths,Acutely_Ill,Hospitalized,Recovered,Positive_Tests,Negative_Tests,Total_Tests,Population,Death_Rate,Hospitalization_Rate
0,53587,4,AL,32.318231,-86.902298,1259.55,1164,30308,7123,25783,57255,471834,529089,4903185,0.021721686229869183,0.13292403008192286
1,1479,1,AK,63.588753000000004,-154.493062,39.50,17,920,NA,642,1579,147894,149473,731545,0.011494252873563218,NA
2,122467,17,AZ,34.048928000000004,-111.093731,3395.35,2337,110082,5942,15678,128097,593846,721943,7278717,0.0190826916638768,0.048519192925441136
3,28367,1,AR,35.20105,-91.83183299999999,621.85,331,6637,1872,22844,29812,360487,390299,3017804,0.011668488031868016,0.06599217400500582
4,324543,86,CA,36.778261,-119.41793200000001,7514.30,7250,NA,NA,NA,346211,5328744,5674955,39512223,0.022339104525440388,NA
5,36895,10,CO,39.550051,-105.782067,326.45,1738,31122,5941,4808,37668,367287,404955,5758736,0.047106654018159645,0.16102452906897954
6,47287,3,CT,41.603221000000005,-73.087749,80.85,4372,34807,10552,8351,47530,544231,591761,3565287,0.0924567005730962,0.2231480110812697
7,12804,3,DE,38.910832,-75.52767,104.00,518,5267,NA,7184,12969,128631,141600,973764,0.040456107466416744,NA
8,269811,45,FL,27.664827000000002,-81.515754,9130.75,4409,NA,19201,NA,291629,2393614,2685243,21477737,0.016341068377493877,0.07116463005585391
9,116935,15,GA,32.157435,-82.907123,2729.10,3054,NA,13685,NA,123963,1007071,1131034,10617423,0.02611707358789071,0.1170308290930859
10,1220,2,HI,19.898682,-155.66585700000002,21.45,22,331,128,911,1264,94806,96070,1415872,0.018032786885245903,0.10491803278688525
11,10903,3,ID,44.068202,-114.74204099999999,365.90,103,8355,500,3262,11720,118564,130284,1787065,0.009446941208841602,0.045858937906998076
12,155048,12,IL,40.633125,-89.398528,904.90,7419,NA,NA,NA,156638,1885934,2042572,12671821,0.047849698157989784,NA
13,51612,6,IN,40.551217,-85.602364,477.25,2775,10755,7633,39155,52685,525724,578409,6732219,0.05376656591490351,0.1478919631093544
14,35410,3,IA,41.878003,-93.097702,469.85,757,8157,NA,26952,35866,344542,380408,3155070,0.021378141767862187,NA
15,18981,6,KS,39.011902,-98.484246,347.85,299,18668,1343,920,19887,211288,231175,2913314,0.01575259469996312,0.0707549654918076
16,19389,7,KY,37.839333,-84.27001800000001,293.00,635,14199,2802,5389,20223,435333,455556,4467673,0.03275052865026561,0.1445149311465264
17,78122,15,LA,31.244822999999997,-92.14502399999999,1478.25,3445,32263,NA,46334,82042,894413,976455,4648794,0.044097693351424695,NA
18,3539,2,ME,45.253783,-69.44546899999999,27.45,114,390,373,3062,3566,121909,125475,1344212,0.03221248940378638,0.10539700480361684
19,73109,5,MD,39.045755,-76.641271,446.15,3334,65688,11485,5238,74260,591809,666069,6045680,0.045603140516215515,0.1570942018082589
20,111597,9,MA,42.407211,-71.382437,225.95,8340,9443,11625,94347,112130,866084,978214,6892503,0.07473319175246647,0.1041694669211538
21,76776,13,MI,44.314844,-85.602364,465.45,6326,17671,NA,53867,77864,1255922,1333786,9986857,0.08239554027300199,NA
22,42281,7,MN,46.729553,-94.6859,470.35,1548,3873,4452,37749,43170,734444,777614,5639632,0.036612189872519574,0.10529552281166481
23,36287,1,MS,32.354668,-89.398528,705.90,1272,10338,3585,25932,37542,312671,350213,2976149,0.03505387604376223,0.09879571196296194
24,27880,2,MO,37.964253,-91.83183299999999,505.85,1114,NA,NA,NA,29240,475863,505103,6137428,0.03995695839311334,NA
25,1758,3,MT,46.879682,-110.36256599999999,59.30,34,1034,136,884,1952,119444,121396,1068778,0.019340159271899887,0.07736063708759955
26,21172,4,NE,41.492537,-99.901813,174.80,286,5406,1431,16025,21717,194518,216235,1934408,0.013508407330436425,0.06758926884564519
27,27683,4,NV,38.802609999999994,-116.419389,804.55,612,28207,NA,800,29619,330561,360180,3080156,0.022107430553046998,NA
28,6054,6,NH,43.193852,-71.572395,24.65,392,643,589,5056,6091,129937,136028,1359711,0.06475057813016187,0.09729104724149323
29,175298,5,NJ,40.058324,-74.405661,301.15,15582,129015,20632,31318,175915,1545316,1721231,8882190,0.08888863535237139,0.11769672215313352
30,15028,5,NM,34.97273,-105.03236299999999,226.20,551,8600,2227,6363,15514,408841,424355,2096829,0.03666489220122438,0.14819004524886878
31,401706,76,NY,43.299428000000006,-74.217933,675.45,32408,299075,89995,71692,403175,4381752,4784927,19453561,0.08067591721308619,0.22403200350505095
32,85771,16,NC,35.759572999999996,-79.0193,1673.65,1571,21305,NA,67124,90000,1164846,1254846,10488084,0.018316214105000523,NA
33,4493,0,ND,47.551493,-101.002012,56.55,88,720,280,3685,4493,120540,125033,762062,0.01958602270198086,0.06231916314266637
34,65592,10,OH,40.417287,-82.907123,1061.80,3069,18644,9049,46282,67995,975754,1043749,11689100,0.046789242590559825,0.13795889742651543
