,Case_Count,Num_Tweets,State
0,0,0,AL
1,1539,2,AK
2,0,0,AS
3,123824,15,AZ
4,28939,2,AR
5,333357,93,CA
6,37218,11,CO
7,47510,4,CT
8,12879,2,DE
9,0,0,DC
10,282435,50,FL
11,120572,20,GA
12,0,0,GU
13,1243,5,HI
14,11404,2,ID
15,155931,13,IL
16,52037,9,IN
17,35631,2,IA
18,19645,5,KS
19,19653,12,KY
20,79827,4,LA
21,0,0,ME
22,73527,10,MD
23,111827,9,MA
24,77198,13,MI
25,42772,4,MN
26,36680,1,MS
27,28289,6,MO
28,1843,1,MT
29,21399,2,NE
30,28515,5,NV
31,6068,8,NH
32,175522,7,NJ
33,15291,3,NM
34,402263,64,NY
35,87669,14,NC
36,0,0,ND
37,0,0,MP
38,66853,9,OH
39,20746,4,OK
40,12438,3,OR
41,100330,19,PA
42,0,0,PR
43,17487,1,RI
44,58168,8,SC
45,0,0,SD
46,65274,7,TN
47,269778,24,TX
48,30030,4,UT
49,0,0,VT
50,0,0,VI
51,71642,9,VA
52,40656,12,WA
53,0,0,WV
54,36942,5,WI
55,0,0,WY
56,0,6,NYNew York (Manhattan)
57,2966,2,ORMultnomah
58,8566,2,MDBaltimore City
59,0,1,NYKings
60,81216,2,AZMaricopa
61,219301,10,NYNew York
62,1008,1,MAHampshire
63,1340,1,CTMiddlesex
64,9515,1,NJMonmouth
65,27575,1,PAPhiladelphia
66,0,2,VACity of Alexandria
67,67713,3,FLMiami-Dade
68,276,1,TNWashington
69,25748,1,CARiverside
70,7952,1,CODenver
71,19039,1,NJEssex
72,12752,1,MIOakland
73,3023,1,NJAtlantic
74,8040,1,TXHidalgo
75,2171,1,NELancaster
76,1351,1,INJohnson
77,733,1,KYBoone
78,95884,2,ILCook
79,1470,1,INHendricks
80,25255,7,CAOrange
81,12111,1,INMarion
82,4246,2,CAVentura
83,1809,1,GAHenry
84,136357,9,CALos Angeles
85,4590,1,CASan Francisco
86,18161,2,TXTarrant
87,5033,1,PAAllegheny
88,5905,1,SCHorry
89,14163,1,TNShelby
90,5267,1,OKTulsa
91,31484,1,FLBroward
92,34914,2,TXDallas
93,18937,1,FLOrange
94,291,1,WAKitsap
95,0,1,NYBronx
96,5627,1,AZPinal
97,4604,1,NCDurham
98,14098,1,WIMilwaukee
99,20342,1,MASuffolk
100,23803,1,NVClark
101,4852,1,CAContra Costa
102,3662,1,INElkhart
103,11080,2,GAFulton
104,4986,1,OKOklahoma
105,11442,1,FLPinellas
