,Case_Count,Num_Tweets,State
0,53587,4,AL
1,1479,1,AK
2,0,0,AS
3,122467,17,AZ
4,28367,1,AR
5,324543,86,CA
6,36895,10,CO
7,47287,3,CT
8,12804,3,DE
9,0,0,DC
10,269811,45,FL
11,116935,15,GA
12,0,0,GU
13,1220,2,HI
14,10903,3,ID
15,155048,12,IL
16,51612,6,IN
17,35410,3,IA
18,18981,6,KS
19,19389,7,KY
20,78122,15,LA
21,3539,2,ME
22,73109,5,MD
23,111597,9,MA
24,76776,13,MI
25,42281,7,MN
26,36287,1,MS
27,27880,2,MO
28,1758,3,MT
29,21172,4,NE
30,27683,4,NV
31,6054,6,NH
32,175298,5,NJ
33,15028,5,NM
34,401706,76,NY
35,85771,16,NC
36,0,0,ND
37,0,0,MP
38,65592,10,OH
39,20235,2,OK
40,12170,5,OR
41,99794,16,PA
42,0,0,PR
43,17312,4,RI
44,56648,5,SC
45,0,0,SD
46,61960,4,TN
47,262762,24,TX
48,29484,2,UT
49,0,0,VT
50,0,0,VI
51,70670,8,VA
52,40656,11,WA
53,0,0,WV
54,36448,7,WI
55,0,0,WY
56,0,8,NYNew York (Manhattan)
57,2888,2,ORMultnomah
58,8489,1,MDBaltimore City
59,0,1,NYKings
60,80146,3,AZMaricopa
61,219051,6,NYNew York
62,1335,1,CTMiddlesex
63,9482,1,NJMonmouth
64,27367,1,PAPhiladelphia
65,1008,1,MAHampshire
66,0,2,VACity of Alexandria
67,1451,1,NCNew Hanover
68,7902,3,CODenver
69,14622,2,TXTravis
70,30025,2,FLBroward
71,1859,1,NYUlster
72,19648,2,TXBexar
73,133549,11,CALos Angeles
74,2114,1,NELancaster
75,1345,1,INJohnson
76,726,1,KYBoone
77,95557,2,ILCook
78,1466,1,INHendricks
79,24715,7,CAOrange
80,12074,1,INMarion
81,4246,2,CAVentura
82,1769,1,GAHenry
83,12035,1,OHFranklin
84,20301,2,MASuffolk
85,19150,1,FLHillsborough
86,4522,1,CASan Francisco
87,2825,1,MDHoward
88,8253,1,GADeKalb
89,565,1,GASpalding
90,21018,1,FLPalm Beach
91,8460,1,MABristol
92,97,1,NYJefferson
93,3434,1,CAMarin
94,382,1,MISt. Joseph
95,5614,1,AZPinal
96,4499,1,NCDurham
97,13928,1,WIMilwaukee
98,64444,2,FLMiami-Dade
99,23048,2,NVClark
100,4661,1,CAContra Costa
101,3618,1,INElkhart
102,33800,1,TXDallas
103,10595,2,GAFulton
104,4802,1,OKOklahoma
105,10844,1,FLPinellas
106,19008,1,NJEssex
107,947,1,PACumberland
108,3169,1,LASt. Tammany
109,3675,1,NCForsyth
110,13568,1,MNHennepin
111,19371,1,CASan Diego
112,15727,1,MDMontgomery
113,13309,1,TNDavidson
114,3007,1,TXMontgomery
