,Case_Count,Num_Tweets,State,Lat,Lon,Cases_Per_Day,Deaths,Acutely_Ill,Hospitalized,Recovered,Positive_Tests,Negative_Tests,Total_Tests,Population,Death_Rate,Hospitalization_Rate
0,57255,3,AL,32.318231,-86.902298,1259.55,1164,30308,7123,25783,57255,471834,529089,4903185,0.020330102174482577,0.12440834861584141
1,1579,2,AK,63.588753000000004,-154.493062,39.50,17,920,NA,642,1579,147894,149473,731545,0.010766307789740342,NA
2,128097,3,AZ,34.048928000000004,-111.093731,3395.35,2337,110082,5942,15678,128097,593846,721943,7278717,0.018243986978617767,0.04638672256180863
3,29812,0,AR,35.20105,-91.83183299999999,621.85,331,6637,1872,22844,29812,360487,390299,3017804,0.01110291157922984,0.06279350597075004
4,346211,57,CA,36.778261,-119.41793200000001,7514.30,7250,NA,NA,NA,346211,5328744,5674955,39512223,0.020940986854837078,NA
5,37668,3,CO,39.550051,-105.782067,326.45,1738,31122,5941,4808,37668,367287,404955,5758736,0.046139959647446105,0.1577200807051078
6,47530,3,CT,41.603221000000005,-73.087749,80.85,4372,34807,10552,8351,47530,544231,591761,3565287,0.09198401009888492,0.22200715337681465
7,12969,2,DE,38.910832,-75.52767,104.00,518,5267,NA,7184,12969,128631,141600,973764,0.039941398720024675,NA
8,291629,18,FL,27.664827000000002,-81.515754,9130.75,4409,NA,19201,NA,291629,2393614,2685243,21477737,0.015118523877940809,0.06584050283065128
9,123963,10,GA,32.157435,-82.907123,2729.10,3054,NA,13685,NA,123963,1007071,1131034,10617423,0.024636383436993297,0.11039584392117002
10,1264,1,HI,19.898682,-155.66585700000002,21.45,22,331,128,911,1264,94806,96070,1415872,0.01740506329113924,0.10126582278481013
11,11720,3,ID,44.068202,-114.74204099999999,365.90,103,8355,500,3262,11720,118564,130284,1787065,0.00878839590443686,0.042662116040955635
12,156638,10,IL,40.633125,-89.398528,904.90,7419,NA,NA,NA,156638,1885934,2042572,12671821,0.04736398575058415,NA
13,52685,3,IN,40.551217,-85.602364,477.25,2775,10755,7633,39155,52685,525724,578409,6732219,0.05267153838853564,0.14487994685394326
14,35866,0,IA,41.878003,-93.097702,469.85,757,8157,NA,26952,35866,344542,380408,3155070,0.021106340266547705,NA
15,19887,4,KS,39.011902,-98.484246,347.85,299,18668,1343,920,19887,211288,231175,2913314,0.015034947453110072,0.06753155327600946
16,20223,6,KY,37.839333,-84.27001800000001,293.00,635,14199,2802,5389,20223,435333,455556,4467673,0.031399891212975324,0.13855511051772734
17,82042,3,LA,31.244822999999997,-92.14502399999999,1478.25,3445,32263,NA,46334,82042,894413,976455,4648794,0.041990687696545674,NA
18,3566,1,ME,45.253783,-69.44546899999999,27.45,114,390,373,3062,3566,121909,125475,1344212,0.03196859226023556,0.10459899046550757
19,74260,5,MD,39.045755,-76.641271,446.15,3334,65688,11485,5238,74260,591809,666069,6045680,0.04489631026124428,0.15465930514408835
20,112130,6,MA,42.407211,-71.382437,225.95,8340,9443,11625,94347,112130,866084,978214,6892503,0.07437795416034959,0.10367430660840096
