,Case_Count,Num_Tweets,State
0,57255,3,AL
1,1579,2,AK
2,0,0,AS
3,128097,3,AZ
4,29812,0,AR
5,346211,57,CA
6,37668,3,CO
7,47530,3,CT
8,12969,2,DE
9,0,0,DC
10,291629,18,FL
11,123963,10,GA
12,0,0,GU
13,1264,1,HI
14,11720,3,ID
15,156638,10,IL
16,52685,3,IN
17,35866,0,IA
18,19887,4,KS
19,20223,6,KY
20,82042,3,LA
21,3566,1,ME
22,74260,5,MD
23,112130,6,MA
24,77864,7,MI
25,43170,3,MN
26,37542,1,MS
27,29240,1,MO
28,1952,0,MT
29,21717,1,NE
30,29619,5,NV
31,6091,8,NH
32,175915,2,NJ
33,15514,1,NM
34,403175,39,NY
35,90000,7,NC
36,4493,0,ND
37,0,0,MP
38,67995,8,OH
39,21740,4,OK
40,12805,2,OR
41,101266,7,PA
42,0,0,PR
43,17588,0,RI
44,60389,2,SC
45,7572,0,SD
46,66788,6,TN
47,279577,14,TX
48,30478,0,UT
49,1305,0,VT
50,0,0,VI
51,72443,9,VA
52,42304,5,WA
53,4407,1,WV
54,37906,0,WI
55,1950,0,WY
56,219616,9,NYNew York
57,26120,7,CAOrange
58,1012,1,MAHampshire
59,4522,1,LACaddo
60,140576,10,CALos Angeles
61,0,2,NYNew York (Manhattan)
62,13733,2,NYRockland
63,7216,1,CASan Joaquin
64,5938,2,CASacramento
65,5364,1,PAAllegheny
66,2309,1,ILMcHenry
67,530,1,CANapa
68,1366,1,INJohnson
69,312,1,WAKitsap
70,1865,1,DEKent
71,15883,1,MDMontgomery
72,12574,1,OHFranklin
73,20887,1,CASan Diego
74,11354,3,GAFulton
75,1586,1,MABarnstable
76,24824,1,NVClark
77,1996,1,OHMahoning
78,7901,1,NCWake
79,24270,1,MIWayne
80,0,2,NYKings
81,84233,1,AZMaricopa
82,96186,5,ILCook
83,4536,1,FLSeminole
84,747,1,IDKootenai
85,5015,1,TXFort Bend
86,0,1,NYBronx
87,65,1,WAMason
88,32814,1,FLBroward
89,12192,1,INMarion
90,148,1,WVOhio
91,14205,1,TNDavidson
92,14447,1,TNShelby
93,18483,1,TXTarrant
