,Case_Count,Num_Tweets,State
0,46962,4,AL
1,1222,0,AK
2,0,0,AS
3,108614,11,AZ
4,25246,4,AR
5,292560,69,CA
6,35099,6,CO
7,47108,3,CT
8,12462,2,DE
9,0,0,DC
10,223783,26,FL
11,103890,18,GA
12,0,0,GU
13,1094,3,HI
14,8969,6,ID
15,150554,6,IL
16,49063,3,IN
17,32624,0,IA
18,17332,1,KS
19,17919,7,KY
20,70151,3,LA
21,3460,2,ME
22,70861,4,MD
23,110602,4,MA
24,74551,4,MI
25,39589,4,MN
26,32888,0,MS
27,25590,0,MO
28,1371,1,MT
29,20425,2,NE
30,24301,5,NV
31,5952,7,NH
32,174039,9,NJ
33,14017,1,NM
34,398929,42,NY
35,77687,11,NC
36,3971,0,ND
37,0,0,MP
38,60181,11,OH
39,17894,3,OK
40,10817,0,OR
41,96725,12,PA
42,0,0,PR
43,17204,0,RI
44,48909,4,SC
45,7242,0,SD
46,55986,5,TN
47,224929,26,TX
48,26755,1,UT
49,1256,0,VT
50,0,0,VI
51,67375,12,VA
52,37941,12,WA
53,3707,1,WV
54,33154,3,WI
55,1740,1,WY
56,26969,3,PAPhiladelphia
57,718,1,NJCape May
58,4071,2,CASan Francisco
59,261,4,WAKitsap
60,70128,2,AZMaricopa
61,217777,9,NYNew York
62,0,3,NYBronx
63,9362,1,NJMonmouth
64,9358,4,GAFulton
65,23781,2,FLBroward
66,0,1,HIOahu in Honolulu
67,123256,12,CALos Angeles
68,2179,1,ILMcHenry
69,1016,1,AZYavapai
70,20126,2,NVClark
71,2691,1,NJGloucester
72,20120,2,MASuffolk
73,0,1,VACity of Norfolk
74,15194,1,FLOrange
75,4809,1,TXGalveston
76,0,1,HILanai in Maui
77,12549,2,TNShelby
78,20225,2,CAOrange
79,4080,1,FLManatee
80,2836,1,OHLucas
81,3431,3,IDAda
82,79,1,CORoutt
83,2061,1,AZSanta Cruz
84,0,1,MDPrince Georges
85,13489,1,NCMecklenburg
86,0,3,NYNew York (Manhattan)
87,42122,1,NYNassau
88,6471,1,NCWake
89,1593,1,GACherokee
90,3070,1,FLVolusia
91,16099,1,FLHillsborough
92,23597,3,MIWayne
93,1414,1,ALShelby
94,2717,1,NMBernalillo
95,12408,1,TXTravis
96,6235,1,SCGreenville
97,53974,1,FLMiami-Dade
98,55,1,WAMason
99,29160,1,TXDallas
100,984,1,PAFranklin
101,17842,1,CASan Diego
102,1563,1,MABarnstable
