,Date,Case_Count,Num_Tweets,Cases_Per_Day,Deaths,Acutely_Ill,Hospitalized,Recovered,Positive_Tests,Negative_Tests,Total_Tests,Death_Rate,Hospitalization_Rate
0,07_13_2020,175298,5,301.15,15582,129015.0,20632.0,31318.0,175915,1545316,1721231,0.08888863535237139,0.11769672215313352
1,07_14_2020,175522,7,301.15,15582,129015.0,20632.0,31318.0,175915,1545316,1721231,0.08877519627169242,0.1175465183851597
2,07_15_2020,175915,2,301.15,15582,129015.0,20632.0,31318.0,175915,1545316,1721231,0.0885768695108433,0.1172839155273854
3,07_16_2020,174039,9,301.15,15582,129015.0,20632.0,31318.0,175915,1545316,1721231,0.08953165669763674,0.11854814150851245
4,07_17_2020,174039,7,301.15,15582,129015.0,20632.0,31318.0,175915,1545316,1721231,0.08953165669763674,0.11854814150851245
