,Date,Case_Count,Num_Tweets,Cases_Per_Day,Deaths,Acutely_Ill,Hospitalized,Recovered,Positive_Tests,Negative_Tests,Total_Tests,Death_Rate,Hospitalization_Rate
0,07_13_2020,324543,86,7514.3,7250,,,,346211,5328744,5674955,0.022339104525440388,
1,07_14_2020,333357,93,7514.3,7250,,,,346211,5328744,5674955,0.02174845585963396,
2,07_15_2020,346211,57,7514.3,7250,,,,346211,5328744,5674955,0.02094098685483708,
3,07_16_2020,292560,69,7514.3,7250,,,,346211,5328744,5674955,0.024781241454744325,
4,07_17_2020,292560,44,7514.3,7250,,,,346211,5328744,5674955,0.024781241454744325,
