Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,Num_Tweets
Alabama,32.3182,-86.9023,71813,1364,29736.0,40713.0,1464.619425944565,609488.0,8538.0,1.8993775500257613,12430.45081921241,11.889212259618732,0
Alaska,61.3707,-152.4044,2131,19,753.0,1359.0,291.30128700216665,185333.0,,0.8916001877053027,25334.46336178909,,0
Arizona,33.7298,-111.4312,150609,2974,19293.0,128342.0,2069.169607775656,813981.0,7047.0,1.9746495893339708,11183.028547476155,4.679003246817921,1
Arkansas,34.9697,-92.3731,35246,380,27990.0,6876.0,1167.9353596191138,440226.0,2317.0,1.0781365261306248,14587.627294549282,6.573795608012258,0
California,36.1162,-119.6816,421286,8047,,413239.0,1066.216902045729,6664419.0,,1.9101038249550184,16866.727544031117,,4
Colorado,39.0598,-105.3111,41680,1771,5064.0,34845.0,723.7699384031496,457402.0,6110.0,4.249040307101727,7942.749936791684,14.659309021113243,0
Connecticut,41.5978,-72.7554,48223,4406,8466.0,35351.0,1352.5699333602035,674406.0,10654.0,9.136718993011634,18915.896532312825,22.093192045289587,2
Delaware,39.3185,-75.5071,13792,527,7859.0,5406.0,1416.3596107475732,159433.0,,3.821055684454756,16372.858310637896,,0
Florida,27.7663,-81.6868,379619,5345,,374274.0,1767.4999931324235,3154711.0,22588.0,1.407990643250206,14688.283965857298,5.95017636103567,3
Georgia,33.0406,-83.6431,152302,3335,,148967.0,1434.4535392439386,1316844.0,15922.0,2.18972830297698,12402.670591536194,10.454229097451117,2
Hawaii,21.0943,-157.4983,1435,25,1084.0,326.0,101.35096957917101,108182.0,151.0,1.7421602787456445,7640.662432762284,10.522648083623693,0
Idaho,44.2405,-114.4788,16322,135,4504.0,11683.0,913.3411487550817,153971.0,656.0,0.8271045215047176,8615.85896427942,4.0191153044969985,0
Illinois,40.3495,-88.9861,166475,7540,,158935.0,1313.74172662319,2349662.0,,4.529208589878361,18542.417857701745,,1
Indiana,39.8494,-86.2583,58673,2863,41322.0,14488.0,871.5254212615483,654413.0,8020.0,4.879586862781858,9720.61366393458,13.668978917048726,0
Iowa,42.0115,-93.2105,40208,814,28607.0,10787.0,1274.3932781206122,426436.0,,2.0244727417429367,13515.896636207757,,0
Kansas,38.5266,-96.7265,23481,321,1050.0,22110.0,805.9893303639772,268686.0,1545.0,1.3670627315702055,9222.692782171782,6.579787913632297,1
Kentucky,37.6681,-84.6701,24540,677,7000.0,16863.0,549.2792332831879,519075.0,2914.0,2.7587612061939693,11618.464466848847,11.874490627546864,1
Louisiana,31.1695,-91.8678,99354,3558,61456.0,34340.0,2137.199454310085,1152901.0,,3.581134126456912,24800.00189296407,,0
Maine,44.6939,-69.3819,3722,118,3216.0,388.0,276.89084757463854,145018.0,377.0,3.170338527673294,10788.328031590256,10.128962923159593,0
Maryland,39.0639,-76.8021,80172,3405,5434.0,71333.0,1326.1039287557394,782833.0,11997.0,4.247118694806167,12948.634396792419,14.964077233947014,2
Massachusetts,42.2302,-71.5301,114320,8468,96452.0,9400.0,1658.613714060045,1070062.0,11761.0,7.407277816655004,15525.013191869484,10.28778866340098,2
Michigan,43.3266,-84.5361,83730,6388,55162.0,22180.0,838.4019116324587,1559613.0,,7.629284605278872,15616.65496962658,,1
Minnesota,45.6945,-93.9002,47961,1592,42234.0,4135.0,850.4278293335452,888551.0,4771.0,3.3193636496319927,15755.478371638435,9.947665811805424,2
Mississippi,32.7416,-89.6787,47071,1423,30315.0,15333.0,1581.6076412840891,403030.0,3844.0,3.0230927747445353,13541.996721266309,8.166386947377367,0
Missouri,38.4561,-92.2884,36497,1159,,35338.0,594.6627805654094,589460.0,,3.1756034742581583,9604.348922708341,,1
Montana,46.9219,-110.4544,2812,42,1543.0,1227.0,263.10421808832143,143518.0,179.0,1.4935988620199143,13428.2329913228,6.365576102418207,0
Nebraska,41.1254,-98.2681,23486,311,17389.0,5786.0,1214.118221181881,242621.0,1508.0,1.3241931363365411,12542.390229982504,6.420846461721878,0
Nevada,38.3135,-117.0554,38657,704,917.0,37036.0,1255.0338359485688,404308.0,,1.8211449414077656,13126.218282450627,,3
