Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,Num_Tweets
Alabama,32.3182,-86.9023,65234,1286,29736.0,34212.0,1330.441335580852,574495.0,7782.0,1.9713646258086277,11716.771853397331,11.929361989146766,0
Alaska,61.3707,-152.4044,1796,18,708.0,1070.0,245.5077951458899,168363.0,,1.0022271714922049,23014.715431039785,,0
Arizona,33.7298,-111.4312,141265,2730,17661.0,120874.0,1940.795335221853,771991.0,6567.0,1.932538137542916,10606.141164713506,4.648709871518069,1
Arkansas,34.9697,-92.3731,32533,357,24776.0,7400.0,1078.0355516793006,413005.0,2135.0,1.0973473088863614,13685.613777435512,6.562567239418438,0
California,36.1162,-119.6816,380745,7702,,373043.0,963.6132090062358,6167218.0,,2.022876203233135,15608.380221988524,,3
Colorado,39.0598,-105.3111,39770,1752,4927.0,33091.0,690.6029378669208,430783.0,5994.0,4.405330651244657,7480.513084815834,15.071662056826751,1
Connecticut,41.5978,-72.7554,47893,4396,8466.0,35031.0,1343.3140165153607,629969.0,10654.0,9.178794395840727,17669.51720857255,22.24542208673501,1
Delaware,39.3185,-75.5071,13429,523,7362.0,5544.0,1379.0815844496203,150757.0,,3.894556556705637,15481.882673830618,,0
Florida,27.7663,-81.6868,337569,4895,,332674.0,1571.7158655960818,2931988.0,20969.0,1.4500739108152705,13651.28923964382,6.211767075768213,5
Georgia,33.0406,-83.6431,139880,3169,,136711.0,1317.4571645115766,1231806.0,14961.0,2.26551329711181,11601.741778584126,10.695596225336002,0
Hawaii,21.0943,-157.4983,1354,24,994.0,336.0,95.63011345658363,102995.0,139.0,1.7725258493353029,7274.315757356597,10.265878877400297,0
Idaho,44.2405,-114.4788,14303,119,3827.0,10357.0,800.3626057250294,142505.0,570.0,0.8319932881213732,7974.2482786020655,3.9851779346990144,0
Illinois,40.3495,-88.9861,161785,7483,,154302.0,1276.7304714926133,2213573.0,,4.625274283771672,17468.4680283915,,1
Indiana,39.8494,-86.2583,55654,2820,40722.0,12112.0,826.6813661290579,614455.0,7861.0,5.067021238365617,9127.079793452946,14.12477090595465,0
Iowa,42.0115,-93.2105,38313,789,27820.0,9704.0,1214.3312192756418,403729.0,,2.05935322214392,12796.197865657496,,1
Kansas,38.5266,-96.7265,21693,308,983.0,20402.0,744.6159253688411,249353.0,1453.0,1.4198128428525332,8559.084259369227,6.698013183976397,0
Kentucky,37.6681,-84.6701,22184,667,6824.0,14693.0,496.54484560530733,490201.0,2875.0,3.0066714749368915,10972.177238575876,12.959790840245226,0
Louisiana,31.1695,-91.8678,88590,3509,53288.0,31793.0,1905.6555313055387,1043940.0,,3.9609436731008016,22456.146690948237,,0
Maine,44.6939,-69.3819,3645,117,3136.0,392.0,271.1625844732825,134929.0,375.0,3.2098765432098766,10037.776779258033,10.2880658436214,1
Maryland,39.0639,-76.8021,77206,3368,5344.0,68494.0,1277.0441042198727,720986.0,11788.0,4.362355257363418,11925.639464874092,15.268243400771961,1
Massachusetts,42.2302,-71.5301,113238,8419,95390.0,9429.0,1642.915498186943,1026833.0,11709.0,7.4347833766050275,14897.824491335004,10.340168494674932,0
Michigan,43.3266,-84.5361,81338,6364,55162.0,19812.0,814.4504322030444,1456078.0,,7.824141237797831,14579.942418320401,,0
Minnesota,45.6945,-93.9002,45470,1578,39310.0,4582.0,806.2582806821437,835962.0,4602.0,3.4704200571805583,14822.988450310231,10.120958873982843,0
Mississippi,32.7416,-89.6787,41846,1346,25932.0,14568.0,1406.045194645833,377285.0,3727.0,3.21655594322038,12676.952666012354,8.906466567891794,0
Missouri,38.4561,-92.2884,32704,1136,,31568.0,532.861648234407,550876.0,,3.473581213307241,8975.68166991124,,0
Montana,46.9219,-110.4544,2471,37,1075.0,1359.0,231.19862122910462,131879.0,164.0,1.497369486038041,12339.232282101617,6.636989073249698,0
Nebraska,41.1254,-98.2681,22481,301,16665.0,5515.0,1162.164341752102,231151.0,1480.0,1.3389084115475292,11949.443964251597,6.583337040167253,0
Nevada,38.3135,-117.0554,34477,646,842.0,32989.0,1119.3264237265905,382537.0,,1.8737129100559795,12419.403432813144,,3
New Hampshire,43.4525,-71.5639,6188,396,5188.0,604.0,455.09670805046073,141786.0,670.0,6.399482870071106,10427.657053594476,10.827407886231414,2
New Jersey,40.2989,-74.521,176814,15699,31400.0,129715.0,1990.6577094162587,1781450.0,21064.0,8.878821812752383,20056.427525193678,11.913083805581007,2
New Mexico,34.8405,-106.2485,16736,569,6654.0,9513.0,798.1575989267602,452298.0,2337.0,3.3998565965583167,21570.57156306022,13.963910133843212,0
New York,42.1657,-74.9481,406305,32478,72064.0,301763.0,2088.5893333359377,5069266.0,89995.0,7.99350241813416,26058.293389061266,22.149616667281972,3
North Carolina,35.6301,-79.8064,98092,1648,67124.0,29320.0,935.2709226966526,1379143.0,,1.6800554581413367,13149.618176208352,,1
North Dakota,47.5289,-99.784,4907,90,4029.0,788.0,643.9108628956699,131515.0,295.0,1.8341145302628896,17257.782175203592,6.011819849195027,0
Ohio,40.3888,-82.7649,73821,3132,50280.0,20409.0,631.5370729996323,1138436.0,9513.0,4.242695168041614,9739.295583064564,12.886576990287313,2
Oklahoma,35.5653,-96.9289,25057,451,19186.0,5420.0,633.236887508147,475731.0,2375.0,1.7998962365805962,12022.605169459164,9.478389272458793,0
Oregon,44.572,-122.0709,14149,257,3225.0,10667.0,335.4642548836023,330793.0,1327.0,1.8163827832355643,7842.902485384935,9.378754682309703,0
Pennsylvania,40.5908,-77.2098,104780,7015,76183.0,21582.0,818.4665679684617,1012727.0,,6.694979958007253,7910.700438814625,,0
Rhode Island,41.6809,-71.5118,17793,990,1717.0,15086.0,1679.5974176885877,179201.0,2088.0,5.5639858371269595,16915.952163615613,11.734951947395047,0
South Carolina,33.8569,-80.945,67612,1135,23849.0,42628.0,1313.182282022268,561993.0,4182.0,1.6786960894515766,10915.211060470634,6.185292551618057,0
South Dakota,44.2998,-99.4388,7862,116,6891.0,855.0,888.7040091153766,97247.0,771.0,1.4754515390485883,10992.597147601506,9.806664970745356,0
Tennessee,35.7478,-86.6923,76336,838,43706.0,31792.0,1117.7925763789297,1173652.0,3649.0,1.0977782435548102,17185.85585899554,4.7801823517082385,3
Texas,31.0545,-97.5635,327106,3939,169581.0,153586.0,1128.1119549359441,2842685.0,,1.2041968047055085,9803.754540170723,,0
Utah,40.15,-111.8624,33332,243,20421.0,12668.0,1039.689228617468,456240.0,2014.0,0.7290291611664467,14231.003650079008,6.042241689667589,0
Vermont,44.0459,-72.7107,1338,56,1125.0,157.0,214.42685688369502,80446.0,,4.185351270553063,12892.214446087994,,0
Virginia,37.7693,-78.17,76373,2025,9976.0,64372.0,894.7669145836358,889701.0,11142.0,2.651460594712791,10423.513789846877,14.588925405575269,1
Washington,47.4009,-121.4905,46026,1444,,44582.0,604.420836904734,767657.0,4984.0,3.1373571459609786,10080.995228691983,10.82866206057446,1
West Virginia,38.4912,-80.9545,4894,100,3295.0,1499.0,273.0802774549186,225511.0,,2.043318348998774,12583.286973669012,,0
Wisconsin,44.2685,-89.6165,41485,843,32004.0,8638.0,712.502709348015,768742.0,4082.0,2.032059780643606,13203.103719166245,9.839701096781967,1
Wyoming,42.756,-107.3025,2108,24,1611.0,473.0,364.2275973246204,44035.0,142.0,1.1385199240986716,7608.520990602306,6.7362428842504745,0
