Combined_Key,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Num_Tweets
"Abbeville, South Carolina, US",34.22333378,-82.46170658,249,2,0,247.0,1015.207730256452,0.8032128514056225,0.0
"Acadia, Louisiana, US",30.2950649,-92.41419698,2011,59,0,1952.0,3241.1959061971147,2.9338637493784185,0.0
"Accomack, Virginia, US",37.76707161,-75.63234615,1057,15,0,1042.0,3270.8255972273796,1.4191106906338695,0.0
"Ada, Idaho, US",43.4526575,-116.24155159999998,6423,40,0,6383.0,1333.7154034473524,0.6227619492449011,0.0
"Adair, Iowa, US",41.33075609,-94.47105874,21,0,0,21.0,293.6241610738255,0.0,0.0
"Adair, Kentucky, US",37.10459774,-85.28129668,171,19,0,152.0,890.532236225393,11.111111111111109,0.0
"Adair, Missouri, US",40.19058551,-92.60078167,117,0,0,117.0,461.6659432584935,0.0,0.0
"Adair, Oklahoma, US",35.88494195,-94.65859267,205,4,0,201.0,923.6730647922864,1.951219512195122,0.0
"Adams, Colorado, US",39.87432092,-104.3362578,5248,164,0,5084.0,1014.2611142570556,3.125,0.0
"Adams, Idaho, US",44.89333571,-116.4545247,15,0,0,15.0,349.32463903120635,0.0,0.0
"Adams, Illinois, US",39.98815591,-91.18786813,286,1,0,285.0,437.0749598838542,0.34965034965034963,0.0
"Adams, Indiana, US",40.7457653,-84.93671406,63,1,0,62.0,176.09078458227353,1.5873015873015872,0.0
"Adams, Iowa, US",41.02903567,-94.69932645,12,0,0,12.0,333.14825097168233,0.0,0.0
"Adams, Mississippi, US",31.47669768,-91.35326037,455,22,0,433.0,1482.4227022448115,4.835164835164835,0.0
"Adams, Nebraska, US",40.52449420000001,-98.50117804,320,11,0,309.0,1020.3105570257947,3.4375,0.0
"Adams, Ohio, US",38.84541072,-83.4718964,39,2,0,37.0,140.80439020867937,5.128205128205129,0.0
"Adams, Pennsylvania, US",39.87140411,-77.21610347,424,15,0,409.0,411.61451911968857,3.537735849056604,0.0
"Adams, Washington, US",46.98299757,-118.56017340000001,318,0,0,318.0,1591.3526497522894,0.0,0.0
"Adams, Wisconsin, US",43.96974651,-89.76782777,54,2,0,52.0,267.06231454005933,3.703703703703704,0.0
"Addison, Vermont, US",44.03217337,-73.14130877,71,2,0,69.0,193.0554422601081,2.8169014084507036,0.0
"Adjuntas, Puerto Rico, US",18.180117000000006,-66.754367,72,0,0,72.0,369.5529435918492,0.0,0.0
"Aguada, Puerto Rico, US",18.360255,-67.17513100000001,78,0,0,78.0,185.89575538025213,0.0,0.0
"Aguadilla, Puerto Rico, US",18.459681,-67.12081500000001,121,0,0,121.0,198.52663702439742,0.0,0.0
"Aguas Buenas, Puerto Rico, US",18.251619,-66.126806,83,0,0,83.0,289.61233818346767,0.0,0.0
"Aibonito, Puerto Rico, US",18.131361,-66.264131,62,0,0,62.0,239.38223938223945,0.0,0.0
"Aiken, South Carolina, US",33.54338026,-81.63645384,1109,20,0,1089.0,649.0238307036848,1.8034265103697025,0.0
"Aitkin, Minnesota, US",46.60962049,-93.41168259999999,22,0,0,22.0,138.48671786478658,0.0,0.0
"Alachua, Florida, US",29.67866525,-82.35928158,2809,15,0,2794.0,1044.0710221042732,0.533997864008544,0.0
"Alamance, North Carolina, US",36.0434701,-79.39976137,1809,40,0,1769.0,1067.1999716829196,2.211166390270868,0.0
"Alameda, California, US",37.64629437,-121.8929271,9643,171,0,9472.0,576.9659953246787,1.7733070621175984,0.0
"Alamosa, Colorado, US",37.57250606,-105.7885451,214,7,0,207.0,1318.3022238649664,3.2710280373831777,0.0
"Albany, New York, US",42.60060306,-73.97723916,2369,122,0,2247.0,775.4348523433255,5.149852258336852,0.0
"Albany, Wyoming, US",41.65498705,-105.72354150000001,75,0,0,75.0,192.90123456790127,0.0,0.0
"Albemarle, Virginia, US",38.02080697,-78.55481085,647,10,0,637.0,591.7863349492362,1.545595054095827,0.0
"Alcona, Michigan, US",44.6846864,-83.59507875,27,1,0,26.0,259.4906295050457,3.703703703703704,0.0
"Alcorn, Mississippi, US",34.88084463,-88.57996173,190,2,0,188.0,514.1666441154981,1.0526315789473684,0.0
"Aleutians East, Alaska, US",55.32222414,-161.9722021,1,0,0,1.0,29.96703626011388,0.0,0.0
"Aleutians West, Alaska, US",52.3233,-174.1596,1,0,0,1.0,17.749378771742986,0.0,0.0
"Alexander, Illinois, US",37.18049267,-89.32910838,32,0,0,32.0,555.4591216802638,0.0,0.0
"Alexander, North Carolina, US",35.922379600000006,-81.17751948,225,2,0,223.0,600.0480038403073,0.8888888888888888,0.0
"Alexandria, Virginia, US",38.814003,-77.08183073,2618,56,0,2562.0,1642.1205810773513,2.1390374331550803,0.0
"Alfalfa, Oklahoma, US",36.73090616,-98.32408495,1,0,0,1.0,17.5377060680463,0.0,0.0
"Alger, Michigan, US",46.41292944,-86.60260122,4,0,0,4.0,43.917435221783045,0.0,0.0
"Allamakee, Iowa, US",43.28383218,-91.37860922,143,4,0,139.0,1044.787024183532,2.797202797202797,0.0
"Allegan, Michigan, US",42.59147037,-85.89102866,443,8,0,435.0,375.16619947324295,1.8058690744920995,0.0
"Allegany, Maryland, US",39.62357628,-78.69280486,240,18,0,222.0,340.83162917518746,7.5,0.0
"Allegany, New York, US",42.25748406,-78.02750466,72,1,0,71.0,156.21270963962596,1.3888888888888888,0.0
"Alleghany, North Carolina, US",36.49360862,-81.12857041,54,0,0,54.0,484.8702523121128,0.0,0.0
"Alleghany, Virginia, US",37.78636074,-80.00222498,56,2,0,54.0,376.8506056527591,3.571428571428572,0.0
"Allegheny, Pennsylvania, US",40.46809875,-79.98167747,6670,214,0,6456.0,548.4994387543225,3.2083958020989507,0.0
"Allen, Indiana, US",41.09194313,-85.06800636,3217,148,0,3069.0,848.1435490206934,4.600559527510104,0.0
"Allen, Kansas, US",37.88582951,-95.30030847,11,0,0,11.0,88.9320074379497,0.0,0.0
"Allen, Kentucky, US",36.75197631,-86.19457544,205,8,0,197.0,961.7640159512081,3.902439024390244,0.0
"Allen, Louisiana, US",30.65385745,-92.82442028,777,16,0,761.0,3031.958481289265,2.0592020592020592,0.0
"Allen, Ohio, US",40.77285242,-84.10802343,486,41,0,445.0,474.8365917284638,8.436213991769547,0.0
"Allendale, South Carolina, US",32.98837386,-81.35321066,132,3,0,129.0,1519.3370165745855,2.272727272727273,0.0
"Alpena, Michigan, US",45.03477666,-83.62212411,125,13,0,112.0,440.06336912515405,10.4,0.0
"Alpine, California, US",38.59678594,-119.82235940000001,2,0,0,2.0,177.14791851195747,0.0,0.0
"Amador, California, US",38.44583082,-120.65696000000001,65,0,0,65.0,163.51378546991347,0.0,0.0
"Amelia, Virginia, US",37.34081025,-77.98584649,60,1,0,59.0,456.44731837200464,1.6666666666666667,0.0
"Amherst, Virginia, US",37.60308293,-79.14548696,66,0,0,66.0,208.82771713336498,0.0,0.0
"Amite, Mississippi, US",31.17467303,-90.80501621,151,4,0,147.0,1227.9417744165246,2.6490066225165565,0.0
"Anasco, Puerto Rico, US",18.287985,-67.120611,92,0,0,92.0,314.41167424216536,0.0,0.0
"Anchorage, Alaska, US",61.14998174,-149.14269860000005,1068,9,0,1059.0,370.83333333333326,0.8426966292134831,0.0
"Anderson, Kansas, US",38.21413251,-95.29272815,24,0,0,24.0,305.4212267752609,0.0,0.0
"Anderson, Kentucky, US",38.00671029,-84.99171713,41,1,0,40.0,180.24354859981537,2.4390243902439024,0.0
"Anderson, South Carolina, US",34.51828081,-82.63959517,1519,28,0,1491.0,749.908668134559,1.8433179723502304,0.0
