Combined_Key,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Num_Tweets
"Abbeville, South Carolina, US",34.22333378,-82.46170658,246,2,0,244.0,1002.9763118196272,0.8130081300813008,0.0
"Acadia, Louisiana, US",30.2950649,-92.41419698,1920,53,0,1867.0,3094.528165041503,2.7604166666666665,0.0
"Accomack, Virginia, US",37.76707161,-75.63234615,1057,15,0,1042.0,3270.8255972273796,1.4191106906338695,0.0
"Ada, Idaho, US",43.4526575,-116.24155159999998,6195,35,0,6160.0,1286.3719327971894,0.5649717514124294,0.0
"Adair, Iowa, US",41.33075609,-94.47105874,20,0,0,20.0,279.6420581655481,0.0,0.0
"Adair, Kentucky, US",37.10459774,-85.28129668,169,19,0,150.0,880.1166545151548,11.242603550295858,0.0
"Adair, Missouri, US",40.19058551,-92.60078167,114,0,0,114.0,449.8283549698141,0.0,0.0
"Adair, Oklahoma, US",35.88494195,-94.65859267,196,4,0,192.0,883.1215643867713,2.0408163265306123,0.0
"Adams, Colorado, US",39.87432092,-104.3362578,5184,163,0,5021.0,1001.892076278311,3.14429012345679,0.0
"Adams, Idaho, US",44.89333571,-116.4545247,15,0,0,15.0,349.32463903120635,0.0,0.0
"Adams, Illinois, US",39.98815591,-91.18786813,289,1,0,288.0,441.65966226025824,0.3460207612456747,0.0
"Adams, Indiana, US",40.7457653,-84.93671406,58,1,0,57.0,162.1153254884423,1.7241379310344829,0.0
"Adams, Iowa, US",41.02903567,-94.69932645,12,0,0,12.0,333.14825097168233,0.0,0.0
"Adams, Mississippi, US",31.47669768,-91.35326037,449,22,0,427.0,1462.8742710064184,4.89977728285078,0.0
"Adams, Nebraska, US",40.52449420000001,-98.50117804,320,11,0,309.0,1020.3105570257947,3.4375,0.0
"Adams, Ohio, US",38.84541072,-83.4718964,37,2,0,35.0,133.58365224925987,5.405405405405406,0.0
"Adams, Pennsylvania, US",39.87140411,-77.21610347,421,15,0,406.0,408.7021522391248,3.5629453681710213,0.0
"Adams, Washington, US",46.98299757,-118.56017340000001,314,0,0,314.0,1571.3356352899966,0.0,0.0
"Adams, Wisconsin, US",43.96974651,-89.76782777,54,2,0,52.0,267.06231454005933,3.703703703703704,0.0
"Addison, Vermont, US",44.03217337,-73.14130877,71,2,0,69.0,193.0554422601081,2.8169014084507036,0.0
"Adjuntas, Puerto Rico, US",18.180117000000006,-66.754367,72,0,0,72.0,369.5529435918492,0.0,0.0
"Aguada, Puerto Rico, US",18.360255,-67.17513100000001,75,0,0,75.0,178.74591863485782,0.0,0.0
"Aguadilla, Puerto Rico, US",18.459681,-67.12081500000001,120,0,0,120.0,196.88592101593136,0.0,0.0
"Aguas Buenas, Puerto Rico, US",18.251619,-66.126806,82,0,0,82.0,286.12303290414883,0.0,0.0
"Aibonito, Puerto Rico, US",18.131361,-66.264131,62,0,0,62.0,239.38223938223945,0.0,0.0
"Aiken, South Carolina, US",33.54338026,-81.63645384,1061,18,0,1043.0,620.9326279320193,1.6965127238454287,0.0
"Aitkin, Minnesota, US",46.60962049,-93.41168259999999,21,0,0,21.0,132.19186705275084,0.0,0.0
"Alachua, Florida, US",29.67866525,-82.35928158,2737,14,0,2723.0,1017.3095007117821,0.5115089514066496,0.0
"Alamance, North Carolina, US",36.0434701,-79.39976137,1772,40,0,1732.0,1045.3722221238988,2.2573363431151243,0.0
"Alameda, California, US",37.64629437,-121.8929271,9383,166,0,9217.0,561.4095130282548,1.7691569860385803,0.0
"Alamosa, Colorado, US",37.57250606,-105.7885451,208,7,0,201.0,1281.3404792706215,3.3653846153846154,0.0
"Albany, New York, US",42.60060306,-73.97723916,2351,121,0,2230.0,769.5429876990959,5.146746065504041,0.0
"Albany, Wyoming, US",41.65498705,-105.72354150000001,73,0,0,73.0,187.75720164609046,0.0,0.0
"Albemarle, Virginia, US",38.02080697,-78.55481085,638,10,0,628.0,583.5543766578251,1.567398119122257,0.0
"Alcona, Michigan, US",44.6846864,-83.59507875,27,1,0,26.0,259.4906295050457,3.703703703703704,0.0
"Alcorn, Mississippi, US",34.88084463,-88.57996173,179,2,0,177.0,484.3991015614429,1.11731843575419,0.0
"Aleutians East, Alaska, US",55.32222414,-161.9722021,1,0,0,1.0,29.96703626011388,0.0,0.0
"Aleutians West, Alaska, US",52.3233,-174.1596,1,0,0,1.0,17.749378771742986,0.0,0.0
"Alexander, Illinois, US",37.18049267,-89.32910838,32,0,0,32.0,555.4591216802638,0.0,0.0
"Alexander, North Carolina, US",35.922379600000006,-81.17751948,221,2,0,219.0,589.3804837720352,0.9049773755656108,0.0
"Alexandria, Virginia, US",38.814003,-77.08183073,2582,56,0,2526.0,1619.539854981559,2.1688613477924092,0.0
"Alfalfa, Oklahoma, US",36.73090616,-98.32408495,1,0,0,1.0,17.5377060680463,0.0,0.0
"Alger, Michigan, US",46.41292944,-86.60260122,4,0,0,4.0,43.917435221783045,0.0,0.0
"Allamakee, Iowa, US",43.28383218,-91.37860922,143,4,0,139.0,1044.787024183532,2.797202797202797,0.0
"Allegan, Michigan, US",42.59147037,-85.89102866,440,7,0,433.0,372.62557058290497,1.5909090909090908,0.0
"Allegany, Maryland, US",39.62357628,-78.69280486,240,18,0,222.0,340.83162917518746,7.5,0.0
"Allegany, New York, US",42.25748406,-78.02750466,72,1,0,71.0,156.21270963962596,1.3888888888888888,0.0
"Alleghany, North Carolina, US",36.49360862,-81.12857041,54,0,0,54.0,484.8702523121128,0.0,0.0
"Alleghany, Virginia, US",37.78636074,-80.00222498,55,2,0,53.0,370.12113055181686,3.636363636363636,0.0
"Allegheny, Pennsylvania, US",40.46809875,-79.98167747,6574,211,0,6363.0,540.604994058608,3.209613629449346,0.0
"Allen, Indiana, US",41.09194313,-85.06800636,3203,144,0,3059.0,844.452529534747,4.495785201373712,0.0
"Allen, Kansas, US",37.88582951,-95.30030847,10,0,0,10.0,80.84727948904519,0.0,0.0
