Combined_Key,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Num_Tweets
"Abbeville, South Carolina, US",34.22333378,-82.46170658,176,2,0,174.0,717.5765482937172,1.1363636363636365,0.0
"Acadia, Louisiana, US",30.295064899999996,-92.41419698,1610,48,0,1562.0,2594.890805060843,2.9813664596273286,0.0
"Accomack, Virginia, US",37.76707161,-75.63234615,1048,14,0,1034.0,3242.9756157940333,1.3358778625954195,0.0
"Ada, Idaho, US",43.4526575,-116.24155159999998,5457,32,0,5425.0,1133.1285935874514,0.5864027854132308,0.0
"Adair, Iowa, US",41.33075609,-94.47105874,19,0,0,19.0,265.6599552572707,0.0,0.0
"Adair, Kentucky, US",37.10459774,-85.28129668,157,19,0,138.0,817.6231642537234,12.101910828025478,0.0
"Adair, Missouri, US",40.19058551,-92.60078167,106,0,0,106.0,418.2614528666693,0.0,0.0
"Adair, Oklahoma, US",35.88494195,-94.65859267,166,4,0,162.0,747.9498963683877,2.409638554216868,0.0
"Adams, Colorado, US",39.87432092,-104.3362578,5024,161,0,4863.0,970.9694813314496,3.204617834394905,0.0
"Adams, Idaho, US",44.89333571,-116.4545247,13,0,0,13.0,302.74802049371215,0.0,0.0
"Adams, Illinois, US",39.98815591,-91.18786813,232,1,0,231.0,354.55031710858117,0.4310344827586207,0.0
"Adams, Indiana, US",40.7457653,-84.93671406,54,1,0,53.0,150.9349582133773,1.851851851851852,0.0
"Adams, Iowa, US",41.02903567,-94.69932645,12,0,0,12.0,333.14825097168233,0.0,0.0
"Adams, Mississippi, US",31.47669768,-91.35326037,401,21,0,380.0,1306.4868210992736,5.236907730673316,0.0
"Adams, Nebraska, US",40.52449420000001,-98.50117804,316,11,0,305.0,1007.5566750629724,3.4810126582278484,0.0
"Adams, Ohio, US",38.84541072,-83.4718964,30,2,0,28.0,108.3110693912918,6.666666666666668,0.0
"Adams, Pennsylvania, US",39.87140411,-77.21610347,410,15,0,395.0,398.0234736770573,3.6585365853658534,0.0
"Adams, Washington, US",46.98299757,-118.56017340000001,277,0,0,277.0,1386.1782515137866,0.0,0.0
"Adams, Wisconsin, US",43.96974651,-89.76782777,49,2,0,47.0,242.33432245301682,4.081632653061225,0.0
"Addison, Vermont, US",44.03217337,-73.14130877,70,2,0,68.0,190.3363515240504,2.8571428571428568,0.0
"Aiken, South Carolina, US",33.54338026,-81.63645384,924,14,0,910.0,540.7556533545578,1.5151515151515151,0.0
"Aitkin, Minnesota, US",46.60962049,-93.41168259999999,18,0,0,18.0,113.30731461664358,0.0,0.0
"Alachua, Florida, US",29.67866525,-82.35928158,2465,12,0,2453.0,916.2104198957044,0.486815415821501,0.0
"Alamance, North Carolina, US",36.0434701,-79.39976137,1607,38,0,1569.0,948.0322578742132,2.364654635967641,0.0
"Alameda, California, US",37.64629437,-121.8929271,8858,161,0,8697.0,529.9973853143217,1.817566041995936,0.0
"Alamosa, Colorado, US",37.57250606,-105.7885451,207,7,0,200.0,1275.1801885048974,3.3816425120772946,0.0
"Albany, New York, US",42.60060306,-73.97723916,2310,121,0,2189.0,756.1226293427952,5.238095238095238,0.0
"Albany, Wyoming, US",41.65498705,-105.72354150000001,55,0,0,55.0,141.46090534979425,0.0,0.0
"Albemarle, Virginia, US",38.02080697,-78.55481085,593,10,0,583.0,542.3945852007682,1.6863406408094437,0.0
"Alcona, Michigan, US",44.6846864,-83.59507875,25,1,0,24.0,240.26910139356082,4.0,0.0
"Alcorn, Mississippi, US",34.88084463,-88.57996173,136,2,0,134.0,368.0350715774092,1.4705882352941178,0.0
"Aleutians West, Alaska, US",52.3233,-174.1596,1,0,0,1.0,17.749378771742986,0.0,0.0
"Alexander, Illinois, US",37.18049267,-89.32910838,29,0,0,29.0,503.3848290227391,0.0,0.0
"Alexander, North Carolina, US",35.922379600000006,-81.17751948,197,1,0,196.0,525.3753633624024,0.5076142131979695,0.0
"Alexandria, Virginia, US",38.814003,-77.08183073,2523,56,0,2467.0,1582.5325538801214,2.219579865239794,0.0
"Alfalfa, Oklahoma, US",36.73090616,-98.32408495,1,0,0,1.0,17.5377060680463,0.0,0.0
"Alger, Michigan, US",46.41292944,-86.60260122,4,0,0,4.0,43.917435221783045,0.0,0.0
"Allamakee, Iowa, US",43.28383218,-91.37860922,139,4,0,135.0,1015.5622123182582,2.8776978417266186,0.0
"Allegan, Michigan, US",42.59147037,-85.89102866,408,7,0,401.0,345.52552908596635,1.7156862745098038,0.0
"Allegany, Maryland, US",39.62357628,-78.69280486,227,18,0,209.0,322.3699159281981,7.929515418502202,0.0
"Allegany, New York, US",42.25748406,-78.02750466,71,1,0,70.0,154.04308867240894,1.4084507042253518,0.0
"Alleghany, North Carolina, US",36.49360862,-81.12857041,50,0,0,50.0,448.95393732603037,0.0,0.0
"Alleghany, Virginia, US",37.78636074,-80.00222498,54,2,0,52.0,363.39165545087485,3.703703703703704,0.0
