Combined_Key,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Num_Tweets
"Abbeville, South Carolina, US",34.22333378,-82.46170658,255,2,0,253.0,1039.6705671301015,0.7843137254901961,0.0
"Acadia, Louisiana, US",30.2950649,-92.41419698,2084,61,0,2023.0,3358.852445805464,2.927063339731286,0.0
"Accomack, Virginia, US",37.76707161,-75.63234615,1059,15,0,1044.0,3277.014481990345,1.4164305949008498,0.0
"Ada, Idaho, US",43.4526575,-116.24155159999998,6587,42,0,6545.0,1367.7694788272936,0.6376195536663124,0.0
"Adair, Iowa, US",41.33075609,-94.47105874,22,0,0,22.0,307.6062639821029,0.0,0.0
"Adair, Kentucky, US",37.10459774,-85.28129668,171,19,0,152.0,890.532236225393,11.111111111111109,0.0
"Adair, Missouri, US",40.19058551,-92.60078167,116,0,0,116.0,457.72008049560037,0.0,0.0
"Adair, Oklahoma, US",35.88494195,-94.65859267,209,4,0,205.0,941.695953861404,1.9138755980861244,0.0
"Adams, Colorado, US",39.87432092,-104.3362578,5312,167,0,5145.0,1026.6301522358003,3.1438253012048194,0.0
"Adams, Idaho, US",44.89333571,-116.4545247,15,0,0,15.0,349.32463903120635,0.0,0.0
"Adams, Illinois, US",39.98815591,-91.18786813,302,1,0,301.0,461.52670589134254,0.3311258278145696,0.0
"Adams, Indiana, US",40.7457653,-84.93671406,66,1,0,65.0,184.47606003857223,1.5151515151515151,0.0
"Adams, Iowa, US",41.02903567,-94.69932645,12,0,0,12.0,333.14825097168233,0.0,0.0
"Adams, Mississippi, US",31.47669768,-91.35326037,466,22,0,444.0,1518.2614928485325,4.721030042918455,0.0
"Adams, Nebraska, US",40.52449420000001,-98.50117804,320,11,0,309.0,1020.3105570257947,3.4375,0.0
"Adams, North Dakota, US",46.09686891,-102.5285397,0,0,0,0.0,0.0,,0.0
"Adams, Ohio, US",38.84541072,-83.4718964,40,2,0,38.0,144.41475918838904,5.0,0.0
"Adams, Pennsylvania, US",39.87140411,-77.21610347,437,16,0,421.0,424.23477560213183,3.6613272311212817,0.0
"Adams, Washington, US",46.98299757,-118.56017340000001,322,0,0,322.0,1611.3696642145826,0.0,0.0
"Adams, Wisconsin, US",43.96974651,-89.76782777,54,2,0,52.0,267.06231454005933,3.703703703703704,0.0
"Addison, Vermont, US",44.03217337,-73.14130877,71,2,0,69.0,193.0554422601081,2.8169014084507036,0.0
"Adjuntas, Puerto Rico, US",18.180117000000006,-66.754367,72,0,0,72.0,369.5529435918492,0.0,0.0
"Aguada, Puerto Rico, US",18.360255,-67.17513100000001,82,0,0,82.0,195.4288710407779,0.0,0.0
"Aguadilla, Puerto Rico, US",18.459681,-67.12081500000001,130,0,0,130.0,213.2930811005923,0.0,0.0
"Aguas Buenas, Puerto Rico, US",18.251619,-66.126806,85,0,0,85.0,296.59094874210547,0.0,0.0
"Aibonito, Puerto Rico, US",18.131361,-66.264131,64,0,0,64.0,247.1042471042471,0.0,0.0
"Aiken, South Carolina, US",33.54338026,-81.63645384,1123,20,0,1103.0,657.2170981787536,1.7809439002671417,0.0
"Aitkin, Minnesota, US",46.60962049,-93.41168259999999,24,0,0,24.0,151.07641948885808,0.0,0.0
"Alachua, Florida, US",29.67866525,-82.35928158,2890,16,0,2874.0,1074.1777336708258,0.5536332179930796,0.0
"Alamance, North Carolina, US",36.0434701,-79.39976137,1842,40,0,1802.0,1086.6679645328566,2.1715526601520088,0.0
"Alameda, California, US",37.64629437,-121.8929271,9869,173,0,9696.0,590.4881683977243,1.7529638261222007,0.0
"Alamosa, Colorado, US",37.57250606,-105.7885451,216,7,0,209.0,1330.6228053964144,3.2407407407407414,0.0
"Albany, New York, US",42.60060306,-73.97723916,2401,122,0,2279.0,785.9092783775114,5.081216159933361,0.0
"Albany, Wyoming, US",41.65498705,-105.72354150000001,74,0,0,74.0,190.32921810699588,0.0,0.0
"Albemarle, Virginia, US",38.02080697,-78.55481085,671,10,0,661.0,613.7382237263332,1.4903129657228018,0.0
"Alcona, Michigan, US",44.6846864,-83.59507875,27,1,0,26.0,259.4906295050457,3.703703703703704,0.0
"Alcorn, Mississippi, US",34.88084463,-88.57996173,198,2,0,196.0,535.8157659729927,1.0101010101010102,0.0
"Aleutians East, Alaska, US",55.32222414,-161.9722021,1,0,0,1.0,29.96703626011388,0.0,0.0
"Aleutians West, Alaska, US",52.3233,-174.1596,1,0,0,1.0,17.749378771742986,0.0,0.0
"Alexander, Illinois, US",37.18049267,-89.32910838,33,0,0,33.0,572.8172192327721,0.0,0.0
"Alexander, North Carolina, US",35.922379600000006,-81.17751948,235,2,0,233.0,626.7168040109875,0.851063829787234,0.0
