Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,Num_Tweets
Alabama,32.3182,-86.9023,67011,1287,29736.0,35988.0,1366.6830845664606,585533.0,7782.0,1.9205802032502128,11941.89083218357,11.61301875811434,0
Alaska,61.3707,-152.4044,1875,18,712.0,1145.0,256.30685740453424,173010.0,,0.96,23649.94634643118,,0
Arizona,33.7298,-111.4312,143624,2761,18149.0,122714.0,1973.2048931150919,785979.0,6632.0,1.922380660613825,10798.31789036447,4.617612655266528,0
Arkansas,34.9697,-92.3731,33228,357,25292.0,7579.0,1101.065543024,419171.0,2177.0,1.0743950884795954,13889.93453517856,6.551703382689299,0
California,36.1162,-119.6816,386906,7715,,379191.0,979.2058523257474,6286852.0,,1.9940243883527264,15911.157415769798,,3
Colorado,39.0598,-105.3111,40124,1752,4948.0,33424.0,696.7501201652585,435938.0,6019.0,4.366463961718672,7570.029256420159,15.000996909580302,1
Connecticut,41.5978,-72.7554,47893,4396,8466.0,35031.0,1343.3140165153607,629969.0,10654.0,9.178794395840727,17669.51720857255,22.24542208673501,1
Delaware,39.3185,-75.5071,13519,523,7362.0,5634.0,1388.324070308617,152995.0,,3.8686293364893847,15711.712488857669,,0
Florida,27.7663,-81.6868,350047,4982,,345065.0,1629.8132340478887,3002641.0,21309.0,1.4232374509708696,13980.248477760948,6.087468254262999,3
Georgia,33.0406,-83.6431,143129,3174,,139955.0,1348.0578102614918,1255319.0,15010.0,2.2175799453639717,11823.198529436004,10.487043156872472,0
Hawaii,21.0943,-157.4983,1381,24,1019.0,338.0,97.5370654974461,104635.0,140.0,1.7378711078928313,7390.1454368756495,10.137581462708182,0
Idaho,44.2405,-114.4788,14874,119,3989.0,10766.0,832.3144373595813,146186.0,583.0,0.800053785128412,8180.228475181373,3.919591233024069,0
Illinois,40.3495,-88.9861,162750,7488,,155262.0,1284.3457937103121,2245686.0,,4.600921658986176,17721.888590440158,,0
Indiana,39.8494,-86.2583,56571,2822,40965.0,12784.0,840.3024322292546,626880.0,7895.0,4.988421629456789,9311.64004023042,13.955913807427835,2
Iowa,42.0115,-93.2105,38813,793,27894.0,10126.0,1230.1787282057132,415491.0,,2.0431298791641974,13168.994665728496,,0
Kansas,38.5266,-96.7265,21996,309,983.0,20704.0,755.0164520542586,249353.0,1453.0,1.404800872885979,8559.084259369227,6.605746499363519,1
Kentucky,37.6681,-84.6701,23161,670,6824.0,15667.0,518.4130530591652,490201.0,2875.0,2.8927939208151634,10972.177238575876,12.413108242303872,0
Louisiana,31.1695,-91.8678,91706,3543,53288.0,34875.0,1972.6836680653091,1069304.0,,3.8634331450504873,23001.750561543493,,0
Maine,44.6939,-69.3819,3687,117,3148.0,422.0,274.2870916194767,137437.0,375.0,3.1733116354759967,10224.354491702199,10.17087062652563,1
Maryland,39.0639,-76.8021,78131,3377,5344.0,69410.0,1292.3442855063452,739785.0,11841.0,4.322228052885539,12236.588770824785,15.155316071725693,0
Massachusetts,42.2302,-71.5301,113534,8431,95390.0,9713.0,1647.2100193500098,1040535.0,11717.0,7.425969313157292,15096.62019733615,10.32025648704353,0
Michigan,43.3266,-84.5361,81868,6366,55162.0,20340.0,819.7574071602307,1484459.0,,7.77593198807837,14864.12592069757,,0
Minnesota,45.6945,-93.9002,46204,1581,40001.0,4622.0,819.2733142871733,853188.0,4627.0,3.421781663925201,15128.433911999931,10.014284477534412,0
Mississippi,32.7416,-89.6787,42638,1355,25932.0,15351.0,1432.6567655046842,378077.0,3727.0,3.1779164125897092,12703.564236871203,8.74102912894601,0
Missouri,38.4561,-92.2884,33521,1136,,32385.0,546.1734133581689,559079.0,,3.3889203782703383,9109.337005664262,,0
Montana,46.9219,-110.4544,2533,37,1075.0,1421.0,236.9996388398713,133159.0,165.0,1.4607185155941569,12458.995226323896,6.514015001973943,0
Nebraska,41.1254,-98.2681,22583,301,16801.0,5481.0,1167.4372727987065,232401.0,1481.0,1.3328610016384006,12014.063217273708,6.5580303768321295,0
Nevada,38.3135,-117.0554,35765,647,842.0,34276.0,1161.142487588291,389788.0,,1.809031175730463,12654.813587363755,,0
New Hampshire,43.4525,-71.5639,6203,398,5251.0,554.0,456.1998836517466,143378.0,673.0,6.416250201515397,10544.74075741095,10.849588908592617,0
New Jersey,40.2989,-74.521,176783,15706,31405.0,129672.0,1990.3086963913174,1791137.0,21064.0,8.88433842620614,20165.48846624537,11.915172839017329,1
