Combined_Key,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Num_Tweets
"Abbeville, South Carolina, US",34.22333378,-82.46170658,185,2,0,183.0,754.2708036041913,1.0810810810810811,0.0
"Acadia, Louisiana, US",30.295064899999996,-92.41419698,1610,48,0,1562.0,2594.890805060843,2.9813664596273286,0.0
"Accomack, Virginia, US",37.76707161,-75.63234615,1051,15,0,1036.0,3252.2589429384825,1.4272121788772598,0.0
"Ada, Idaho, US",43.4526575,-116.24155159999998,5723,32,0,5691.0,1188.3626426793082,0.5591473003669404,0.0
"Adair, Iowa, US",41.33075609,-94.47105874,20,0,0,20.0,279.6420581655481,0.0,0.0
"Adair, Kentucky, US",37.10459774,-85.28129668,158,19,0,139.0,822.8309551088428,12.025316455696206,0.0
"Adair, Missouri, US",40.19058551,-92.60078167,107,0,0,107.0,422.2073156295624,0.0,0.0
"Adair, Oklahoma, US",35.88494195,-94.65859267,168,4,0,164.0,756.9613409029467,2.380952380952381,0.0
"Adams, Colorado, US",39.87432092,-104.3362578,5058,161,0,4897.0,977.5405327576576,3.1830763147489125,0.0
"Adams, Idaho, US",44.89333571,-116.4545247,13,0,0,13.0,302.74802049371215,0.0,0.0
"Adams, Illinois, US",39.98815591,-91.18786813,244,1,0,243.0,372.8891266141973,0.4098360655737705,0.0
"Adams, Indiana, US",40.7457653,-84.93671406,55,1,0,54.0,153.73005003214357,1.818181818181818,0.0
"Adams, Iowa, US",41.02903567,-94.69932645,12,0,0,12.0,333.14825097168233,0.0,0.0
"Adams, Mississippi, US",31.47669768,-91.35326037,402,21,0,381.0,1309.7448929723396,5.223880597014926,0.0
"Adams, Nebraska, US",40.52449420000001,-98.50117804,316,11,0,305.0,1007.5566750629724,3.4810126582278484,0.0
"Adams, Ohio, US",38.84541072,-83.4718964,32,2,0,30.0,115.53180735071123,6.25,0.0
"Adams, Pennsylvania, US",39.87140411,-77.21610347,412,15,0,397.0,399.96505159743316,3.6407766990291264,0.0
"Adams, Washington, US",46.98299757,-118.56017340000001,288,0,0,288.0,1441.2250412850924,0.0,0.0
"Adams, Wisconsin, US",43.96974651,-89.76782777,51,2,0,49.0,252.22551928783386,3.92156862745098,0.0
"Addison, Vermont, US",44.03217337,-73.14130877,70,2,0,68.0,190.3363515240504,2.8571428571428568,0.0
"Adjuntas, Puerto Rico, US",18.180117000000006,-66.754367,68,0,0,68.0,349.02222450341316,0.0,0.0
"Aguada, Puerto Rico, US",18.360255,-67.17513100000001,67,0,0,67.0,159.67968731380634,0.0,0.0
"Aguadilla, Puerto Rico, US",18.459681,-67.12081500000001,102,0,0,102.0,167.3530328635416,0.0,0.0
"Aguas Buenas, Puerto Rico, US",18.251619,-66.126806,77,0,0,77.0,268.67650650755434,0.0,0.0
"Aibonito, Puerto Rico, US",18.131361,-66.264131,55,0,0,55.0,212.35521235521242,0.0,0.0
"Aiken, South Carolina, US",33.54338026,-81.63645384,992,15,0,977.0,580.5515239477504,1.5120967741935485,0.0
"Aitkin, Minnesota, US",46.60962049,-93.41168259999999,18,0,0,18.0,113.30731461664358,0.0,0.0
"Alachua, Florida, US",29.67866525,-82.35928158,2531,12,0,2519.0,940.7418145054879,0.4741209008297116,0.0
"Alamance, North Carolina, US",36.0434701,-79.39976137,1648,39,0,1609.0,972.2197641423168,2.3665048543689315,0.0
"Alameda, California, US",37.64629437,-121.8929271,9110,162,0,8948.0,545.0752066170097,1.7782656421514818,0.0
"Alamosa, Colorado, US",37.57250606,-105.7885451,207,7,0,200.0,1275.1801885048974,3.3816425120772946,0.0
"Albany, New York, US",42.60060306,-73.97723916,2315,121,0,2194.0,757.7592584106368,5.226781857451403,0.0
"Albany, Wyoming, US",41.65498705,-105.72354150000001,58,0,0,58.0,149.17695473251032,0.0,0.0
"Albemarle, Virginia, US",38.02080697,-78.55481085,608,10,0,598.0,556.1145156864537,1.6447368421052633,0.0
"Alcona, Michigan, US",44.6846864,-83.59507875,26,1,0,25.0,249.87986544930317,3.8461538461538463,0.0
"Alcorn, Mississippi, US",34.88084463,-88.57996173,143,2,0,141.0,386.978053202717,1.3986013986013983,0.0
"Aleutians West, Alaska, US",52.3233,-174.1596,1,0,0,1.0,17.749378771742986,0.0,0.0
"Alexander, Illinois, US",37.18049267,-89.32910838,30,0,0,30.0,520.7429265752473,0.0,0.0
"Alexander, North Carolina, US",35.922379600000006,-81.17751948,210,1,0,209.0,560.0448035842868,0.4761904761904762,0.0
"Alexandria, Virginia, US",38.814003,-77.08183073,2540,56,0,2484.0,1593.195674536468,2.204724409448819,0.0
"Alfalfa, Oklahoma, US",36.73090616,-98.32408495,1,0,0,1.0,17.5377060680463,0.0,0.0
"Alger, Michigan, US",46.41292944,-86.60260122,4,0,0,4.0,43.917435221783045,0.0,0.0
"Allamakee, Iowa, US",43.28383218,-91.37860922,139,4,0,135.0,1015.5622123182582,2.8776978417266186,0.0
"Allegan, Michigan, US",42.59147037,-85.89102866,415,7,0,408.0,351.4536631634217,1.686746987951807,0.0
"Allegany, Maryland, US",39.62357628,-78.69280486,232,18,0,214.0,329.4705748693479,7.758620689655173,0.0
"Allegany, New York, US",42.25748406,-78.02750466,71,1,0,70.0,154.04308867240894,1.4084507042253518,0.0
"Alleghany, North Carolina, US",36.49360862,-81.12857041,51,0,0,51.0,457.93301607255097,0.0,0.0
"Alleghany, Virginia, US",37.78636074,-80.00222498,54,2,0,52.0,363.39165545087485,3.703703703703704,0.0
"Allegheny, Pennsylvania, US",40.46809875,-79.98167747,6125,203,0,5922.0,503.68201834636056,3.3142857142857145,0.0
"Allen, Indiana, US",41.09194313,-85.06800636,3103,141,0,2962.0,818.0881046351295,4.543989687399291,0.0
"Allen, Kansas, US",37.88582951,-95.30030847,10,0,0,10.0,80.84727948904519,0.0,0.0
"Allen, Kentucky, US",36.75197631,-86.19457544,198,7,0,191.0,928.9232934553132,3.5353535353535355,0.0
"Allen, Louisiana, US",30.65385745,-92.82442028,573,14,0,559.0,2235.9230499083,2.443280977312391,0.0
"Allen, Ohio, US",40.77285242,-84.10802343,440,41,0,399.0,429.89321061836233,9.318181818181818,0.0
"Allendale, South Carolina, US",32.98837386,-81.35321066,114,3,0,111.0,1312.1546961325967,2.631578947368421,0.0
"Alpena, Michigan, US",45.03477666,-83.62212411,125,13,0,112.0,440.06336912515405,10.4,0.0
"Alpine, California, US",38.59678594,-119.82235940000001,2,0,0,2.0,177.14791851195747,0.0,0.0
"Amador, California, US",38.44583082,-120.65696000000001,51,0,0,51.0,128.29543167639363,0.0,0.0
"Amelia, Virginia, US",37.34081025,-77.98584649,59,1,0,58.0,448.83986306580454,1.6949152542372878,0.0
"Amherst, Virginia, US",37.60308293,-79.14548696,49,0,0,49.0,155.03875968992247,0.0,0.0
"Amite, Mississippi, US",31.17467303,-90.80501621,134,4,0,130.0,1089.696673985525,2.985074626865672,0.0
"Anasco, Puerto Rico, US",18.287985,-67.120611,85,0,0,85.0,290.4890468541745,0.0,0.0
"Anchorage, Alaska, US",61.14998174,-149.14269860000005,870,9,0,861.0,302.0833333333333,1.0344827586206895,0.0
"Anderson, Kansas, US",38.21413251,-95.29272815,22,0,0,22.0,279.9694578773225,0.0,0.0
"Anderson, Kentucky, US",38.00671029,-84.99171713,34,1,0,33.0,149.47025981448104,2.9411764705882355,0.0
"Anderson, South Carolina, US",34.51828081,-82.63959517,1351,25,0,1326.0,666.9694605989396,1.850481125092524,0.0
"Anderson, Tennessee, US",36.12684348,-84.19965764,277,2,0,275.0,359.84307204655875,0.7220216606498195,0.0
"Anderson, Texas, US",31.81534745,-95.65354823,2017,4,0,2013.0,3493.5481077336103,0.1983143282102132,0.0
"Andrew, Missouri, US",39.98492163,-94.80163024,60,1,0,59.0,338.7533875338753,1.6666666666666667,0.0
"Andrews, Texas, US",32.30468633,-102.63765479999999,187,2,0,185.0,999.732691793638,1.0695187165775402,0.0
"Androscoggin, Maine, US",44.1664747,-70.20380627,509,5,0,504.0,470.0906009586523,0.9823182711198428,0.0
"Angelina, Texas, US",31.25457347,-94.60901487,1000,12,0,988.0,1153.203021391916,1.2,0.0
"Anne Arundel, Maryland, US",39.00670238,-76.60329337,5902,213,0,5689.0,1018.9318997158316,3.6089461199593367,0.0
"Anoka, Minnesota, US",45.27476015,-93.24604565,2604,109,0,2495.0,729.5732108785977,4.185867895545315,0.0
"Anson, North Carolina, US",34.97403241,-80.09953279,253,2,0,251.0,1034.934140554692,0.7905138339920948,0.0
"Antelope, Nebraska, US",42.17695516,-98.06662829999999,16,1,0,15.0,254.0489044140997,6.25,0.0
"Antrim, Michigan, US",44.99690221,-85.15503082,28,0,0,28.0,120.04801920768308,0.0,0.0
"Apache, Arizona, US",35.39465006,-109.4892383,2735,110,0,2625.0,3804.5821914949847,4.021937842778794,0.0
"Appanoose, Iowa, US",40.74324454,-92.86865906,33,3,0,30.0,265.5721873491067,9.090909090909092,0.0
"Appling, Georgia, US",31.74847232,-82.28909114,411,15,0,396.0,2235.396497334929,3.6496350364963503,0.0
"Appomattox, Virginia, US",37.37569884,-78.81340003,49,0,0,49.0,307.96304443466784,0.0,0.0
"Aransas, Texas, US",28.10556197,-96.9995047,85,0,0,85.0,361.54827732879625,0.0,0.0
"Arapahoe, Colorado, US",39.64977461,-104.3353617,5990,351,0,5639.0,912.289252044655,5.859766277128547,0.0
"Archer, Texas, US",33.61569967,-98.68754589,12,0,0,12.0,140.3016485443704,0.0,0.0
"Archuleta, Colorado, US",37.19474156,-107.0476867,18,0,0,18.0,128.30565257680522,0.0,0.0
"Arecibo, Puerto Rico, US",18.406631,-66.675077,174,0,0,174.0,180.42306097055163,0.0,0.0
"Arenac, Michigan, US",44.0636262,-83.89277559,39,3,0,36.0,262.0439427534771,7.6923076923076925,0.0
"Arkansas, Arkansas, US",34.29145151,-91.37277296,108,1,0,107.0,617.6369667162303,0.925925925925926,0.0
"Arlington, Virginia, US",38.8767675,-77.10139853,2726,135,0,2591.0,1150.9782893236838,4.9523110785033015,0.0
"Armstrong, Pennsylvania, US",40.81665618,-79.46290811,97,6,0,91.0,149.84166216111842,6.185567010309278,0.0
"Armstrong, Texas, US",34.96507426,-101.35748740000001,3,0,0,3.0,158.9825119236884,0.0,0.0
"Aroostook, Maine, US",46.65926321,-68.59841248,27,1,0,26.0,40.26545373201103,3.703703703703704,0.0
"Arroyo, Puerto Rico, US",17.998457000000005,-66.056546,63,0,0,63.0,321.8390804597701,0.0,0.0
"Arthur, Nebraska, US",41.56896142,-101.6959559,0,0,0,0.0,0.0,,0.0
"Ascension, Louisiana, US",30.20406249,-90.91328409999998,1826,64,0,1762.0,1442.2925026065527,3.504928806133625,0.0
"Ashe, North Carolina, US",36.43296207,-81.49862729,73,1,0,72.0,268.35275521082235,1.3698630136986298,0.0
"Ashland, Ohio, US",40.84772277,-82.27280781,100,3,0,97.0,186.9718046518585,3.0,0.0
"Ashland, Wisconsin, US",46.31956891,-90.67837132,10,0,0,10.0,64.25909266161162,0.0,0.0
"Ashley, Arkansas, US",33.19153461,-91.7698471,125,3,0,122.0,635.9057841990129,2.4,0.0
"Ashtabula, Ohio, US",41.70860332,-80.74830218,464,44,0,420.0,477.16498184922006,9.482758620689657,0.0
"Asotin, Washington, US",46.18894415,-117.2022851,21,2,0,19.0,92.99442033477993,9.523809523809524,0.0
"Assumption, Louisiana, US",29.89946234,-91.06461642,445,17,0,428.0,2032.7988671143398,3.820224719101124,0.0
"Atascosa, Texas, US",28.89333001,-98.52730485,355,2,0,353.0,693.9964420464098,0.5633802816901409,0.0
"Atchison, Kansas, US",39.53185661,-95.30870026,49,0,0,49.0,304.85908044546755,0.0,0.0
"Atchison, Missouri, US",40.43238737,-95.42970639,6,0,0,6.0,116.663426015944,0.0,0.0
"Athens, Ohio, US",39.33425634,-82.04278644,260,1,0,259.0,397.99776508947303,0.38461538461538464,0.0
"Atkinson, Georgia, US",31.29633502,-82.87545866,226,2,0,224.0,2767.911818738518,0.8849557522123894,0.0
"Atlantic, New Jersey, US",39.47538693,-74.65848483,3109,236,0,2873.0,1179.1254219289262,7.590865229977485,0.0
"Atoka, Oklahoma, US",34.37366573,-96.03802487,42,0,0,42.0,305.27692978630614,0.0,0.0
"Attala, Mississippi, US",33.08658803,-89.57838564,403,23,0,380.0,2217.453505007153,5.707196029776674,0.0
"Audrain, Missouri, US",39.215877,-91.84242683,155,1,0,154.0,610.5246573184181,0.6451612903225806,0.0
"Audubon, Iowa, US",41.6844628,-94.90581859,19,1,0,18.0,345.70596797671027,5.2631578947368425,0.0
"Auglaize, Ohio, US",40.55998859,-84.22421429999999,124,4,0,120.0,271.59628526371125,3.2258064516129035,0.0
"Augusta, Virginia, US",38.16404586,-79.12461614,225,2,0,223.0,297.7844834431827,0.8888888888888888,0.0
"Aurora, South Dakota, US",43.71757685,-98.56050467,35,0,0,35.0,1272.264631043257,0.0,0.0
"Austin, Texas, US",29.88548725,-96.27736949,155,0,0,155.0,516.1161427810334,0.0,0.0
"Autauga, Alabama, US",32.53952745,-86.64408227,810,20,0,790.0,1449.8201149116685,2.469135802469136,0.0
"Avery, North Carolina, US",36.07569796,-81.92308483,51,0,0,51.0,290.4824286609329,0.0,0.0
"Avoyelles, Louisiana, US",31.07796211,-92.00079449,588,18,0,570.0,1464.726982861698,3.0612244897959178,0.0
"Baca, Colorado, US",37.31940883,-102.5603223,14,0,0,14.0,390.9522479754258,0.0,0.0
"Bacon, Georgia, US",31.55456473,-82.45936528,339,5,0,334.0,3036.546040845575,1.4749262536873156,0.0
"Bailey, Texas, US",34.06854817,-102.8299707,120,1,0,119.0,1714.2857142857142,0.8333333333333334,0.0
"Baker, Florida, US",30.33060121,-82.28467476,220,4,0,216.0,753.1667237247517,1.818181818181818,0.0
"Baker, Georgia, US",31.32669878,-84.44218806,45,3,0,42.0,1481.2376563528635,6.666666666666668,0.0
"Baker, Oregon, US",44.70915557,-117.6749883,13,0,0,13.0,80.62515504837509,0.0,0.0
"Baldwin, Alabama, US",30.72774991,-87.72207058,1796,14,0,1782.0,804.536943297168,0.779510022271715,0.0
"Baldwin, Georgia, US",33.06882326,-83.24701748,730,35,0,695.0,1626.1973713521945,4.794520547945205,0.0
"Ballard, Kentucky, US",37.05842757,-88.99427697,25,0,0,25.0,316.9371196754564,0.0,0.0
"Baltimore, Maryland, US",39.45784712,-76.62911955,9517,509,0,9008.0,1150.271341721358,5.348324051696963,0.0
"Baltimore City, Maryland, US",39.30211911,-76.61151012,9284,378,0,8906.0,1564.3060540194442,4.071520896165446,0.0
"Bamberg, South Carolina, US",33.21927586,-81.05659969,261,3,0,258.0,1855.5381771647947,1.1494252873563218,0.0
"Bandera, Texas, US",29.74619598,-99.24598147,47,0,0,47.0,203.35756317064727,0.0,0.0
"Banks, Georgia, US",34.35607081,-83.49644388,182,3,0,179.0,946.2410315067067,1.6483516483516485,0.0
"Banner, Nebraska, US",41.54634427,-103.7114332,2,0,0,2.0,268.4563758389262,0.0,0.0
"Bannock, Idaho, US",42.67002716,-112.2233311,186,1,0,185.0,211.8258017492712,0.5376344086021505,0.0
"Baraga, Michigan, US",46.6720582,-88.36363591,5,0,0,5.0,60.9087586794981,0.0,0.0
"Barber, Kansas, US",37.2288586,-98.68460053,3,0,0,3.0,67.7659814772984,0.0,0.0
"Barbour, Alabama, US",31.868263,-85.3871286,465,3,0,462.0,1883.658753949607,0.6451612903225806,0.0
"Barbour, West Virginia, US",39.1307219,-80.00350858,25,1,0,24.0,152.05887719725078,4.0,0.0
"Barceloneta, Puerto Rico, US",18.445533,-66.56053100000001,34,0,0,34.0,137.00838168923278,0.0,0.0
"Barnes, North Dakota, US",46.93579637,-98.06605978,26,0,0,26.0,249.63994239078247,0.0,0.0
"Barnstable, Massachusetts, US",41.72980578,-70.28854339,1612,154,0,1458.0,756.8430442743788,9.553349875930524,0.0
"Barnwell, South Carolina, US",33.26679302,-81.43584352,183,1,0,182.0,877.0248250742834,0.5464480874316939,0.0
"Barranquitas, Puerto Rico, US",18.201592,-66.30963,119,0,0,119.0,392.5061019856191,0.0,0.0
