Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,Num_Tweets
Alabama,32.3182,-86.9023,70358,1303,29736.0,39319.0,1434.9448368764386,600381.0,8538.0,1.8519571335171552,12244.71440502449,12.135080587850707,1
Alaska,61.3707,-152.4044,2042,18,737.0,1287.0,279.1352548373648,178626.0,,0.8814887365328109,24417.63664572925,,0
Arizona,33.7298,-111.4312,148683,2918,18863.0,126902.0,2042.7089004834231,807666.0,6894.0,1.96256465096884,11096.26875175941,4.636710316579569,0
Arkansas,34.9697,-92.3731,34655,374,27283.0,6998.0,1148.3515828065704,439635.0,2257.0,1.0792093493002453,14568.043517736738,6.51276872024239,0
California,36.1162,-119.6816,409305,7888,,401417.0,1035.8946394891523,6536932.0,,1.9271692258828992,16544.075487729457,,2
Colorado,39.0598,-105.3111,41041,1763,5019.0,34259.0,712.6737534069977,451299.0,6057.0,4.295704295704296,7836.7718193714745,14.75841231938793,1
Connecticut,41.5978,-72.7554,48096,4406,8466.0,35224.0,1349.0078077865821,662837.0,10654.0,9.160844976713241,18591.40652631892,22.151530272787763,0
Delaware,39.3185,-75.5071,13746,525,7362.0,5859.0,1411.635673530753,158347.0,,3.819292885202968,16261.332314606003,,0
Florida,27.7663,-81.6868,369834,5206,,364628.0,1721.941189614157,3099750.0,22123.0,1.407658571142729,14432.386428793685,5.981872948403878,2
Georgia,33.0406,-83.6431,148988,3254,,145734.0,1403.2406922093994,1295291.0,15494.0,2.1840685155851483,12199.674064036068,10.399495261363333,0
Hawaii,21.0943,-157.4983,1418,24,1057.0,337.0,100.15029607196131,106783.0,150.0,1.6925246826516216,7541.854065904263,10.578279266572636,0
Idaho,44.2405,-114.4788,15823,126,4335.0,11362.0,885.4182696208587,151071.0,621.0,0.7963091701952854,8453.581710793955,3.924666624533906,0
Illinois,40.3495,-88.9861,164864,7517,,157347.0,1301.0284788587212,2310029.0,,4.5595157220496905,18229.653023034334,,0
Indiana,39.8494,-86.2583,57916,2846,41322.0,13748.0,860.2809861057698,644805.0,7941.0,4.9140133987153805,9577.896975722271,13.71123696387872,1
Iowa,42.0115,-93.2105,39721,806,28388.0,10527.0,1258.9578044227228,422433.0,,2.0291533445784347,13389.021479713603,,0
Kansas,38.5266,-96.7265,22929,316,1016.0,21597.0,787.0418362044051,261531.0,1497.0,1.3781673862793842,8977.096186679499,6.528849928038729,0
Kentucky,37.6681,-84.6701,24060,674,6927.0,16459.0,538.5353851994092,508693.0,2900.0,2.801330008312552,11386.083986003452,12.05320033250208,0
Louisiana,31.1695,-91.8678,96583,3498,53288.0,39797.0,2077.5925971337947,1122962.0,,3.6217553813818166,24155.985401805287,,1
Maine,44.6939,-69.3819,3723,118,3191.0,414.0,276.9652406019289,142243.0,377.0,3.1694869728713404,10581.887380859567,10.126242277733011,0
Maryland,39.0639,-76.8021,79545,3402,5380.0,70763.0,1315.7328869539904,764367.0,11949.0,4.276824438996794,12643.193156104857,15.021685838204787,1
Massachusetts,42.2302,-71.5301,114033,8450,95390.0,10193.0,1654.4497695539633,1059181.0,11746.0,7.410135662483668,15367.146013574458,10.300527040418123,0
Michigan,43.3266,-84.5361,83059,6382,55162.0,21515.0,831.6830810734548,1529375.0,,7.683694723028209,15313.87702857866,,0
Minnesota,45.6945,-93.9002,47457,1588,41511.0,4358.0,841.4910760134703,876859.0,4723.0,3.3461870746149147,15548.159879935427,9.952167225066903,0
Mississippi,32.7416,-89.6787,45524,1389,30315.0,13820.0,1529.6277168918625,395198.0,3797.0,3.0511378613478604,13278.837853884332,8.34065547842896,0
