Combined_Key,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Num_Tweets
"Abbeville, South Carolina, US",34.22333378,-82.46170658,260,2,0,258.0,1060.0562645248094,0.7692307692307693,0.0
"Acadia, Louisiana, US",30.2950649,-92.41419698,2111,62,0,2049.0,3402.3692481263597,2.9369966840360022,0.0
"Accomack, Virginia, US",37.76707161,-75.63234615,1059,15,0,1044.0,3277.014481990345,1.4164305949008498,0.0
"Ada, Idaho, US",43.4526575,-116.24155159999998,6732,45,0,6687.0,1397.8782649863888,0.6684491978609626,0.0
"Adair, Iowa, US",41.33075609,-94.47105874,20,0,0,20.0,279.6420581655481,0.0,0.0
"Adair, Kentucky, US",37.10459774,-85.28129668,177,19,0,158.0,921.7789813561087,10.734463276836157,0.0
"Adair, Missouri, US",40.19058551,-92.60078167,117,0,0,117.0,461.6659432584935,0.0,0.0
"Adair, Oklahoma, US",35.88494195,-94.65859267,215,4,0,211.0,968.7302874650807,1.8604651162790695,0.0
"Adams, Colorado, US",39.87432092,-104.3362578,5433,167,0,5266.0,1050.015364664364,3.0738082090925825,0.0
"Adams, Idaho, US",44.89333571,-116.4545247,15,0,0,15.0,349.32463903120635,0.0,0.0
"Adams, Illinois, US",39.98815591,-91.18786813,316,1,0,315.0,482.9219836478949,0.3164556962025317,0.0
"Adams, Indiana, US",40.7457653,-84.93671406,69,1,0,68.0,192.86133549487099,1.4492753623188406,0.0
"Adams, Iowa, US",41.02903567,-94.69932645,12,0,0,12.0,333.14825097168233,0.0,0.0
"Adams, Mississippi, US",31.47669768,-91.35326037,480,22,0,458.0,1563.8744990714497,4.583333333333333,0.0
"Adams, Nebraska, US",40.52449420000001,-98.50117804,323,11,0,312.0,1029.8759684979116,3.4055727554179565,0.0
"Adams, North Dakota, US",46.09686891,-102.5285397,0,0,0,0.0,0.0,,0.0
"Adams, Ohio, US",38.84541072,-83.4718964,40,2,0,38.0,144.41475918838904,5.0,0.0
"Adams, Pennsylvania, US",39.87140411,-77.21610347,441,17,0,424.0,428.1179314428836,3.8548752834467117,0.0
"Adams, Washington, US",46.98299757,-118.56017340000001,328,0,0,328.0,1641.3951859080219,0.0,0.0
"Adams, Wisconsin, US",43.96974651,-89.76782777,56,2,0,54.0,276.9535113748764,3.571428571428572,0.0
"Addison, Vermont, US",44.03217337,-73.14130877,72,2,0,70.0,195.77453299616607,2.7777777777777777,0.0
"Adjuntas, Puerto Rico, US",18.180117000000006,-66.754367,73,0,0,73.0,374.68562336395826,0.0,0.0
"Aguada, Puerto Rico, US",18.360255,-67.17513100000001,84,0,0,84.0,200.1954288710408,0.0,0.0
"Aguadilla, Puerto Rico, US",18.459681,-67.12081500000001,135,0,0,135.0,221.49666114292282,0.0,0.0
"Aguas Buenas, Puerto Rico, US",18.251619,-66.126806,87,0,0,87.0,303.56955930074315,0.0,0.0
"Aibonito, Puerto Rico, US",18.131361,-66.264131,64,0,0,64.0,247.1042471042471,0.0,0.0
"Aiken, South Carolina, US",33.54338026,-81.63645384,1162,22,0,1140.0,680.0412004307317,1.8932874354561104,0.0
"Aitkin, Minnesota, US",46.60962049,-93.41168259999999,24,0,0,24.0,151.07641948885808,0.0,0.0
"Alachua, Florida, US",29.67866525,-82.35928158,2984,16,0,2968.0,1109.1163865999117,0.5361930294906166,0.0
"Alamance, North Carolina, US",36.0434701,-79.39976137,1915,40,0,1875.0,1129.7335244736266,2.0887728459530033,0.0
"Alameda, California, US",37.64629437,-121.8929271,10214,178,0,10036.0,611.1304237525945,1.7427060896808302,0.0
"Alamosa, Colorado, US",37.57250606,-105.7885451,219,7,0,212.0,1349.103677693587,3.1963470319634704,0.0
"Albany, New York, US",42.60060306,-73.97723916,2426,122,0,2304.0,794.0924237167192,5.028854080791426,0.0
"Albany, Wyoming, US",41.65498705,-105.72354150000001,76,0,0,76.0,195.47325102880657,0.0,0.0
"Albemarle, Virginia, US",38.02080697,-78.55481085,685,10,0,675.0,626.5434921796398,1.45985401459854,0.0
"Alcona, Michigan, US",44.6846864,-83.59507875,27,1,0,26.0,259.4906295050457,3.703703703703704,0.0
"Alcorn, Mississippi, US",34.88084463,-88.57996173,241,2,0,239.0,652.1797959570265,0.8298755186721992,0.0
"Aleutians East, Alaska, US",55.32222414,-161.9722021,1,0,0,1.0,29.96703626011388,0.0,0.0
"Aleutians West, Alaska, US",52.3233,-174.1596,1,0,0,1.0,17.749378771742986,0.0,0.0
"Alexander, Illinois, US",37.18049267,-89.32910838,34,0,0,34.0,590.1753167852802,0.0,0.0
"Alexander, North Carolina, US",35.922379600000006,-81.17751948,240,2,0,238.0,640.0512040963278,0.8333333333333334,0.0
"Alexandria, Virginia, US",38.814003,-77.08183073,2662,56,0,2606.0,1669.7192463055426,2.1036814425244184,0.0
"Alfalfa, Oklahoma, US",36.73090616,-98.32408495,1,0,0,1.0,17.5377060680463,0.0,0.0
"Alger, Michigan, US",46.41292944,-86.60260122,5,0,0,5.0,54.89679402722882,0.0,0.0
"Allamakee, Iowa, US",43.28383218,-91.37860922,144,4,0,140.0,1052.0932271498502,2.7777777777777777,0.0
"Allegan, Michigan, US",42.59147037,-85.89102866,458,7,0,451.0,387.8693439249329,1.5283842794759823,0.0
"Allegany, Maryland, US",39.62357628,-78.69280486,244,18,0,226.0,346.5121563281072,7.3770491803278695,0.0
"Allegany, New York, US",42.25748406,-78.02750466,74,1,0,73.0,160.55195157406,1.351351351351351,0.0
"Alleghany, North Carolina, US",36.49360862,-81.12857041,56,0,0,56.0,502.828409805154,0.0,0.0
"Alleghany, Virginia, US",37.78636074,-80.00222498,56,2,0,54.0,376.8506056527591,3.571428571428572,0.0
"Allegheny, Pennsylvania, US",40.46809875,-79.98167747,7015,216,0,6799.0,576.870099379546,3.0791161796151103,0.0
"Allen, Indiana, US",41.09194313,-85.06800636,3278,151,0,3127.0,864.2258482094603,4.606467358145211,0.0
"Allen, Kansas, US",37.88582951,-95.30030847,11,0,0,11.0,88.9320074379497,0.0,0.0
"Allen, Kentucky, US",36.75197631,-86.19457544,206,8,0,198.0,966.455547736336,3.8834951456310685,0.0
"Allen, Louisiana, US",30.65385745,-92.82442028,917,16,0,901.0,3578.2573067467906,1.7448200654307524,0.0
"Allen, Ohio, US",40.77285242,-84.10802343,512,41,0,471.0,500.23937235591245,8.0078125,0.0
"Allendale, South Carolina, US",32.98837386,-81.35321066,136,3,0,133.0,1565.377532228361,2.2058823529411766,0.0
"Alpena, Michigan, US",45.03477666,-83.62212411,125,13,0,112.0,440.06336912515405,10.4,0.0
"Alpine, California, US",38.59678594,-119.82235940000001,2,0,0,2.0,177.14791851195747,0.0,0.0
"Amador, California, US",38.44583082,-120.65696000000001,71,0,0,71.0,178.60736566713626,0.0,0.0
"Amelia, Virginia, US",37.34081025,-77.98584649,61,1,0,60.0,464.05477367820464,1.639344262295082,0.0
"Amherst, Virginia, US",37.60308293,-79.14548696,71,0,0,71.0,224.64799873437747,0.0,0.0
"Amite, Mississippi, US",31.17467303,-90.80501621,165,4,0,161.0,1341.790680653818,2.4242424242424243,0.0
"Anasco, Puerto Rico, US",18.287985,-67.120611,97,0,0,97.0,331.4992652335874,0.0,0.0
"Anchorage, Alaska, US",61.14998174,-149.14269860000005,1129,9,0,1120.0,392.01388888888886,0.7971656333038086,0.0
"Anderson, Kansas, US",38.21413251,-95.29272815,25,0,0,25.0,318.14711122423006,0.0,0.0
"Anderson, Kentucky, US",38.00671029,-84.99171713,42,1,0,41.0,184.639732712006,2.380952380952381,0.0
"Anderson, South Carolina, US",34.51828081,-82.63959517,1625,32,0,1593.0,802.2393586034617,1.9692307692307691,0.0
"Anderson, Tennessee, US",36.12684348,-84.19965764,389,3,0,386.0,505.3391878198966,0.7712082262210797,0.0
"Anderson, Texas, US",31.81534745,-95.65354823,2116,4,0,2112.0,3665.0212176322852,0.1890359168241966,0.0
"Andrew, Missouri, US",39.98492163,-94.80163024,72,1,0,71.0,406.5040650406504,1.3888888888888888,0.0
"Andrews, Texas, US",32.30468633,-102.63765479999999,219,3,0,216.0,1170.8099438652764,1.3698630136986298,0.0
"Androscoggin, Maine, US",44.1664747,-70.20380627,527,5,0,522.0,486.71463006917435,0.9487666034155596,0.0
"Angelina, Texas, US",31.25457347,-94.60901487,1383,14,0,1369.0,1594.87977858502,1.0122921185827911,0.0
"Anne Arundel, Maryland, US",39.00670238,-76.60329337,6229,214,0,6015.0,1075.3857681006295,3.435543425911061,0.0
"Anoka, Minnesota, US",45.27476015,-93.24604565,2903,111,0,2792.0,813.3452500693428,3.823630726834309,0.0
"Anson, North Carolina, US",34.97403241,-80.09953279,271,2,0,269.0,1108.5658185388202,0.7380073800738007,0.0
"Antelope, Nebraska, US",42.17695516,-98.06662829999999,17,1,0,16.0,269.92696093998103,5.882352941176472,0.0
"Antrim, Michigan, US",44.99690221,-85.15503082,33,0,0,33.0,141.48516549476938,0.0,0.0
"Apache, Arizona, US",35.39465006,-109.4892383,2870,117,0,2753.0,3992.3769248960175,4.076655052264808,0.0
"Appanoose, Iowa, US",40.74324454,-92.86865906,34,3,0,31.0,273.61982938998875,8.823529411764708,0.0
"Appling, Georgia, US",31.74847232,-82.28909114,475,16,0,459.0,2583.487436092679,3.3684210526315788,0.0
"Appomattox, Virginia, US",37.37569884,-78.81340003,55,0,0,55.0,345.6728049776884,0.0,0.0
"Aransas, Texas, US",28.10556197,-96.9995047,116,0,0,116.0,493.4070608251808,0.0,0.0
"Arapahoe, Colorado, US",39.64977461,-104.3353617,6373,360,0,6013.0,970.6209354391632,5.648831005805743,0.0
"Archer, Texas, US",33.61569967,-98.68754589,13,0,0,13.0,151.9934525897346,0.0,0.0
"Archuleta, Colorado, US",37.19474156,-107.0476867,24,0,0,24.0,171.07420343574023,0.0,0.0
"Arecibo, Puerto Rico, US",18.406631,-66.675077,208,0,0,208.0,215.67814184985482,0.0,0.0
"Arenac, Michigan, US",44.0636262,-83.89277559,40,2,0,38.0,268.76301820869446,5.0,0.0
"Arkansas, Arkansas, US",34.29145151,-91.37277296,164,1,0,163.0,937.8931716802012,0.6097560975609756,0.0
"Arlington, Virginia, US",38.8767675,-77.10139853,2783,135,0,2648.0,1175.0449666866518,4.850880344951492,0.0
"Armstrong, Pennsylvania, US",40.81665618,-79.46290811,138,6,0,132.0,213.17679771375612,4.3478260869565215,0.0
