Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,Num_Tweets
Alabama,32.3182,-86.9023,78130,1456,32510.0,44164.0,1593.4540507853571,641611.0,9157.0,1.8635607321131449,13085.596403154275,11.72020990656598,0
Alaska,61.3707,-152.4044,2339,20,815.0,1504.0,319.734261050243,205066.0,,0.8550662676357418,28031.90507760972,,0
Arizona,33.7298,-111.4312,160041,3286,20566.0,136189.0,2198.7528846086475,857609.0,7627.0,2.0532238613855203,11782.419896253694,4.765653801213438,1
Arkansas,34.9697,-92.3731,37981,399,29827.0,7755.0,1258.5641744791906,461464.0,2361.0,1.0505252626313155,15291.384066029468,6.216266027750717,0
California,36.1162,-119.6816,446452,8408,,438044.0,1129.9085855027695,7047355.0,,1.8832931647747129,17835.88587258176,,1
Colorado,39.0598,-105.3111,43771,1794,5133.0,36844.0,760.079989775534,479744.0,6227.0,4.098604098604098,8330.717018456828,14.226314226314225,0
Connecticut,41.5978,-72.7554,48776,4413,8516.0,35847.0,1368.0806061335315,713072.0,10712.0,9.04748236837789,20000.4095041998,21.961620469083158,1
Delaware,39.3185,-75.5071,14175,579,7961.0,5635.0,1455.6915227919699,166922.0,,4.084656084656085,17141.935828393736,,0
Florida,27.7663,-81.6868,414511,5777,,408734.0,1929.9565871395112,3336377.0,24086.0,1.3936903966360357,15534.117956654372,5.8107022491562335,4
Georgia,33.0406,-83.6431,165188,3494,,161694.0,1555.8200893003884,1407840.0,17029.0,2.11516575053878,13259.714716085062,10.308860207763274,0
Hawaii,21.0943,-157.4983,1620,26,1148.0,446.0,114.41712245174706,112790.0,156.0,1.6049382716049383,7966.115581069475,9.629629629629632,0
Idaho,44.2405,-114.4788,17265,144,5251.0,11870.0,966.1092349746652,163440.0,709.0,0.8340573414422241,9145.722175746263,4.106573993628729,0
Illinois,40.3495,-88.9861,171122,7589,,163533.0,1350.4136461523565,2471965.0,,4.434847652551981,19507.57511489469,,0
Indiana,39.8494,-86.2583,61520,2895,43535.0,15090.0,913.8145981287894,690274.0,8180.0,4.705786736020807,10253.290928295708,13.296488946684006,0
Iowa,42.0115,-93.2105,41886,826,29477.0,11583.0,1327.5775180899311,446263.0,,1.9720192904550449,14144.313755320802,,0
Kansas,38.5266,-96.7265,25009,329,1077.0,23603.0,858.4381910085903,277967.0,1596.0,1.3155264104922229,9541.264690314878,6.381702587068657,0
Kentucky,37.6681,-84.6701,26764,696,7421.0,18647.0,599.0590627380294,541583.0,3266.0,2.600508145269765,12122.261409910709,12.202959198923928,0
Louisiana,31.1695,-91.8678,103734,3715,61456.0,38563.0,2231.417438587298,1199726.0,,3.5812751846067825,25807.252375562348,,0
Maine,44.6939,-69.3819,3790,119,3281.0,390.0,281.9495734303815,153373.0,379.0,3.1398416886543536,11409.88177460103,10.0,0
Maryland,39.0639,-76.8021,83054,3433,5434.0,74187.0,1373.7743314234297,825326.0,12188.0,4.133455342307414,13651.499913988171,14.674789895730491,1
Massachusetts,42.2302,-71.5301,115268,8510,96452.0,10306.0,1672.367788595812,1110883.0,11813.0,7.382794878023389,16117.265382401718,10.248290939376062,0
Michigan,43.3266,-84.5361,85622,6400,55162.0,24060.0,857.3468109135837,1614646.0,,7.4747144425498115,16167.709220228147,,0
Minnesota,45.6945,-93.9002,50291,1611,43625.0,5055.0,891.7425817854783,940696.0,4889.0,3.2033564653715376,16680.09543885133,9.721421327871788,0
Mississippi,32.7416,-89.6787,50981,1478,30315.0,19188.0,1712.9854721655402,421886.0,3982.0,2.8991192797316647,14175.567150703811,7.810753025637003,0
Missouri,38.4561,-92.2884,41034,1200,,39834.0,668.5862546982221,619721.0,,2.9244041526538966,10097.40562333277,,0
Montana,46.9219,-110.4544,3259,46,1977.0,1236.0,304.9276837659458,151015.0,195.0,1.4114759128567045,14129.688298224699,5.983430500153421,0
Nebraska,41.1254,-98.2681,24395,316,17999.0,6080.0,1261.1093419795618,252605.0,1548.0,1.2953474072555848,13058.517127720728,6.345562615290017,0
Nevada,38.3135,-117.0554,41816,732,994.0,40090.0,1357.5935764292458,430521.0,,1.7505261144059692,13977.246606990037,,1
New Hampshire,43.4525,-71.5639,6415,409,5438.0,568.0,471.79143214992007,152290.0,686.0,6.37568199532346,11200.174154654924,10.693686671862821,0
New Jersey,40.2989,-74.521,178858,15776,32061.0,131021.0,2013.6700520930085,1888157.0,21314.0,8.820405014033481,21257.786649463702,11.916716054076419,1
New Mexico,34.8405,-106.2485,18788,607,7156.0,11025.0,896.0196563477517,505177.0,2525.0,3.2307856078347883,24092.427184095606,13.439429423035982,0
New York,42.1657,-74.9481,411200,32608,72632.0,305960.0,2113.751821581663,5516311.0,89995.0,7.929961089494164,28356.304534681338,21.885943579766536,2
North Carolina,35.6301,-79.8064,111421,1811,78707.0,30903.0,1062.3580055232203,1579042.0,,1.6253668518501898,15055.581171928066,,1
North Dakota,47.5289,-99.784,5736,99,4671.0,966.0,752.6946626389978,144260.0,328.0,1.7259414225941423,18930.21827620325,5.718270571827057,0
