Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,Num_Tweets
Alabama,32.3182,-86.9023,74212,1397,32510.0,40305.0,1513.5468068204646,619527.0,8995.0,1.882444887619253,12635.195286329192,12.120681291435346,0
Alaska,61.3707,-152.4044,2193,19,787.0,1387.0,299.77650042034327,189509.0,,0.8663930688554492,25905.30999460047,,0
Arizona,33.7298,-111.4312,152944,3063,19737.0,130144.0,2101.2494372291158,822713.0,7236.0,2.00269379642222,11302.994744815604,4.7311434250444595,1
Arkansas,34.9697,-92.3731,36259,386,28864.0,7009.0,1201.5028146294458,446480.0,2361.0,1.0645632808406191,14794.864079973384,6.511486803276428,0
California,36.1162,-119.6816,430773,8201,,422572.0,1090.2271937471096,6778304.0,,1.90378691329308,17154.95480980658,,4
Colorado,39.0598,-105.3111,42295,1786,5095.0,35414.0,734.4493652773804,465411.0,6133.0,4.222721361863105,8081.825595061137,14.500531977775148,1
Connecticut,41.5978,-72.7554,48232,4410,8516.0,35306.0,1352.822367455972,687888.0,10712.0,9.143307347818876,19294.04280777396,22.209321612207667,0
Delaware,39.3185,-75.5071,13924,529,7893.0,5502.0,1429.9152566741018,162351.0,,3.799195633438667,16672.520241044032,,0
Florida,27.7663,-81.6868,389868,5518,,384350.0,1815.2191732304013,3210942.0,22991.0,1.4153508366934449,14950.094602611067,5.897124154842151,1
Georgia,33.0406,-83.6431,156607,3361,,153246.0,1475.000101248674,1336938.0,16353.0,2.1461365073081025,12591.925554816831,10.442061976795419,1
Hawaii,21.0943,-157.4983,1490,26,1113.0,351.0,105.23550151426114,108813.0,154.0,1.74496644295302,7685.228608235771,10.335570469798657,0
Idaho,44.2405,-114.4788,16737,138,4746.0,11853.0,936.5635833055876,156826.0,674.0,0.8245205233912888,8775.618122452177,4.027006034534265,0
Illinois,40.3495,-88.9861,168096,7560,,160536.0,1326.5338896438009,2389368.0,,4.497430039977156,18855.75877373899,,0
Indiana,39.8494,-86.2583,59602,2880,42603.0,14119.0,885.3247346825765,666283.0,8066.0,4.832052615684037,9896.929972123604,13.533102916009526,0
Iowa,42.0115,-93.2105,40796,820,28924.0,11052.0,1293.029948622376,436286.0,,2.0100009804882832,13828.09256213016,,0
Kansas,38.5266,-96.7265,23956,322,1050.0,22584.0,822.2937863889715,268686.0,1545.0,1.344130906662214,9222.692782171782,6.449323760227082,0
Kentucky,37.6681,-84.6701,25147,684,7046.0,17417.0,562.8657245057998,524795.0,2921.0,2.7200063625879825,11746.495323180547,11.615699685847215,1
Louisiana,31.1695,-91.8678,101650,3574,61456.0,36620.0,2186.5886077120213,1174868.0,,3.5159862272503686,25272.533048356203,,0
Maine,44.6939,-69.3819,3737,118,3239.0,380.0,278.0067429839936,147675.0,378.0,3.157613058603157,10985.990305100684,10.115065560610113,0
Maryland,39.0639,-76.8021,80836,3409,5434.0,71993.0,1337.086977808948,789041.0,12037.0,4.217180464149636,13051.319289145307,14.890642782918501,1
Massachusetts,42.2302,-71.5301,114647,8484,96452.0,9711.0,1663.3579992638379,1070062.0,11761.0,7.400106413600008,15525.013191869484,10.258445489197277,0
Michigan,43.3266,-84.5361,84431,6395,55162.0,22874.0,845.4211370003595,1586724.0,,7.57423221328659,15888.1217584271,,0
Minnesota,45.6945,-93.9002,48721,1601,42524.0,4596.0,863.9038859273088,905315.0,4818.0,3.286057346934587,16052.7318094514,9.888959586215387,0
Mississippi,32.7416,-89.6787,48053,1436,30315.0,16302.0,1614.6033011116042,404012.0,3878.0,2.988367011424885,13574.992381093823,8.070255759265809,0
Missouri,38.4561,-92.2884,38060,1189,,36871.0,620.1294744313092,603284.0,,3.124014713610089,9829.589854251652,,0
Montana,46.9219,-110.4544,2909,43,1587.0,1279.0,272.1800037051661,146218.0,183.0,1.4781711928497765,13680.857951791673,6.29082158817463,0
Nebraska,41.1254,-98.2681,23818,316,17499.0,6003.0,1231.2810947845544,245573.0,1522.0,1.3267276849441598,12694.995057919528,6.390125115458897,0
Nevada,38.3135,-117.0554,39919,709,975.0,38235.0,1296.0057867198934,414136.0,,1.7760965956061023,13445.293030612736,,1
New Hampshire,43.4525,-71.5639,6318,405,5341.0,572.0,464.6575632616048,146879.0,680.0,6.410256410256411,10802.22194275107,10.76289965178854,0
New Jersey,40.2989,-74.521,177887,15730,31925.0,130232.0,2002.7380634730848,1859638.0,21184.0,8.842692270936043,20936.70592500273,11.908683602511704,2
New Mexico,34.8405,-106.2485,18163,596,6974.0,10593.0,866.2127431469138,489334.0,2470.0,3.2813962451136933,23336.8577027502,13.599075042669165,0
New York,42.1657,-74.9481,409697,32594,72466.0,304637.0,2106.0257296851723,5368338.0,89995.0,7.955635506239978,27595.65716528712,21.966233582379175,0
North Carolina,35.6301,-79.8064,107125,1756,78707.0,26662.0,1021.3972351861407,1523675.0,,1.6392065344224038,14527.677314560031,,1
North Dakota,47.5289,-99.784,5493,97,4475.0,921.0,720.8074933535593,140816.0,322.0,1.7658838521754958,18478.286543614562,5.862006189695977,0
Ohio,40.3888,-82.7649,80186,3256,55702.0,21228.0,685.9895115962735,1245026.0,9968.0,4.060559199860323,10651.170748817274,12.431097697852492,1
Oklahoma,35.5653,-96.9289,27969,477,22441.0,5051.0,706.8285312174388,513175.0,2596.0,1.7054596160034323,12968.884533144164,9.281704744538596,0
Oregon,44.572,-122.0709,15713,273,3509.0,11931.0,372.5457514302101,358491.0,1465.0,1.7374148793992237,8499.60535709078,9.32349010373576,0
Pennsylvania,40.5908,-77.2098,109037,7093,78268.0,23676.0,851.7192133191178,1085617.0,,6.505131285710355,8480.065089885642,,4
Rhode Island,41.6809,-71.5118,18148,1001,1759.0,15388.0,1713.1081850285218,189339.0,2137.0,5.515759312320917,17872.94416162196,11.775402248181615,0
South Carolina,33.8569,-80.945,76606,1334,27062.0,48210.0,1487.8666789415765,618474.0,4498.0,1.7413779599509176,12012.203435654032,5.871602746521161,0
South Dakota,44.2998,-99.4388,8143,121,7214.0,808.0,920.4676604205687,102536.0,792.0,1.48593884317819,11590.454627150122,9.726145155348151,0
Tennessee,35.7478,-86.6923,86987,925,51661.0,34401.0,1273.7558012140269,1295985.0,4016.0,1.0633772862611657,18977.18523499328,4.616781817972799,1
Texas,31.0545,-97.5635,373037,4622,203826.0,164589.0,1286.5172125654676,3164656.0,,1.2390191857644148,10914.157083207785,,1
Utah,40.15,-111.8624,36099,267,23093.0,12739.0,1125.9972838072115,485422.0,2150.0,0.7396326768054516,15141.246391874129,5.955843652178731,0
Vermont,44.0459,-72.7107,1377,56,1156.0,165.0,220.67696706191936,86582.0,,4.0668119099491635,13875.565114128613,,0
Virginia,37.7693,-78.17,81237,2054,10479.0,68704.0,951.7523187517947,972200.0,11697.0,2.5284045447271564,11390.05138410447,14.398611470142916,0
Washington,47.4009,-121.4905,50009,1482,,48527.0,656.7262337107035,855152.0,5211.0,2.963466576016317,11229.99364534735,10.42012437761203,0
West Virginia,38.4912,-80.9545,5452,102,3913.0,1437.0,304.2161162002894,251072.0,,1.8708730741012471,14009.565063580163,,0
