Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,Num_Tweets
Massachusetts,42.2302,-71.5301,114985,8498,96452.0,10035.0,1668.2618781595017,1086252.0,11770.0,7.390529199460799,15759.906089268296,10.236117754489717,0
Michigan,43.3266,-84.5361,85072,6400,55162.0,23510.0,851.8395727504659,1614646.0,,7.523039307880384,16167.709220228147,,0
Minnesota,45.6945,-93.9002,49488,1606,42882.0,5000.0,877.5040640949624,922876.0,4852.0,3.2452311671516325,16364.117375034399,9.804397025541546,0
Mississippi,32.7416,-89.6787,49585,1463,30315.0,17807.0,1666.0792184799884,411480.0,3923.0,2.950489059191288,13825.920678030569,7.911666834728244,0
Missouri,38.4561,-92.2884,39635,1195,,38440.0,645.7916899391732,612615.0,,3.01501198435726,9981.624224349353,,1
Montana,46.9219,-110.4544,3038,46,1815.0,1177.0,284.24986292756773,149200.0,191.0,1.5141540487162608,13959.868185909516,6.287030941408823,0
Nebraska,41.1254,-98.2681,24174,316,17745.0,6113.0,1249.684658045252,249074.0,1548.0,1.30718954248366,12875.980661783864,6.403574087862992,0
Nevada,38.3135,-117.0554,40885,722,994.0,39169.0,1327.367834616169,421871.0,,1.765928824752354,13696.416674999578,,2
New Hampshire,43.4525,-71.5639,6375,407,5345.0,623.0,468.84963054649114,149792.0,681.0,6.3843137254901965,11016.458644520784,10.68235294117647,0
New Jersey,40.2989,-74.521,178345,15765,32001.0,130579.0,2007.8944494544699,1887644.0,21184.0,8.839608623734895,21252.011046825162,11.87810143261656,1
New Mexico,34.8405,-106.2485,18475,601,7056.0,10818.0,881.092354216772,496985.0,2500.0,3.2530446549391066,23701.74201138958,13.531799729364007,0
New York,42.1657,-74.9481,410450,32596,72552.0,305302.0,2109.8964863039732,5444845.0,89995.0,7.9415275916676835,27988.937346740786,21.92593494944573,2
North Carolina,35.6301,-79.8064,109728,1789,78707.0,29232.0,1046.2158769895436,1550297.0,,1.6303951589384658,14781.50823353436,,0
North Dakota,47.5289,-99.784,5614,99,4545.0,970.0,736.6854665368436,142708.0,325.0,1.7634485215532598,18726.560306116822,5.789098681866761,0
Ohio,40.3888,-82.7649,81746,3297,56823.0,21626.0,699.3352781651282,1267628.0,10072.0,4.033224867271793,10844.530374451413,12.321092163530937,1
Oklahoma,35.5653,-96.9289,29116,484,23277.0,5355.0,735.8153496702404,523042.0,2687.0,1.6623162522324495,13218.24193303413,9.228602830059074,0
Oregon,44.572,-122.0709,16104,282,3541.0,12281.0,381.816125566862,366567.0,1474.0,1.7511177347242919,8691.082445396667,9.153005464480874,0
Pennsylvania,40.5908,-77.2098,110292,7116,79178.0,23998.0,861.5223774993087,1104948.0,,6.4519638777064525,8631.065063405382,,0
Rhode Island,41.6809,-71.5118,18224,1002,1769.0,15453.0,1720.2823211350994,190028.0,2146.0,5.498244073748904,17937.983369219746,11.775680421422301,0
South Carolina,33.8569,-80.945,78607,1385,29378.0,47844.0,1526.7307525723902,629372.0,4827.0,1.7619295991451145,12223.867940615852,6.140674494637882,0
South Dakota,44.2998,-99.4388,8200,122,7261.0,817.0,926.9108210056078,103490.0,796.0,1.4878048780487805,11698.292788520776,9.707317073170731,0
Tennessee,35.7478,-86.6923,89078,938,52983.0,35157.0,1304.3744382556367,1322613.0,4120.0,1.0530097218168346,19367.100618610682,4.625159972159231,0
Texas,31.0545,-97.5635,380364,4790,212216.0,163358.0,1311.7863188912934,3231931.0,,1.2593200197705356,11146.172796060242,,3
Utah,40.15,-111.8624,36962,273,23715.0,12974.0,1152.9159146813527,494071.0,2188.0,0.7385963962989016,15411.025347181716,5.9195930956117095,0
Vermont,44.0459,-72.7107,1385,56,1177.0,152.0,221.95904094463202,87692.0,,4.043321299638989,14053.452865355,,0
Virginia,37.7693,-78.17,82364,2067,10576.0,69721.0,964.9559681139484,990299.0,11826.0,2.5095915691321453,11602.094729096145,14.358214754018743,0
Washington,47.4009,-121.4905,50824,1495,,49329.0,667.4289448321862,870763.0,5276.0,2.9415236895954666,11434.999808927061,10.380922398866677,0
West Virginia,38.4912,-80.9545,5653,103,4013.0,1537.0,315.43171402792285,253173.0,,1.8220413939501148,14126.798750325725,,0
Wisconsin,44.2685,-89.6165,46917,878,36333.0,9706.0,805.7970257799402,846007.0,4327.0,1.8713899013150883,14530.126060681838,9.222669821173564,0
Wyoming,42.756,-107.3025,2405,25,1857.0,523.0,415.544293911628,48228.0,155.0,1.0395010395010396,8333.002164977133,6.4449064449064455,0
