Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,Num_Tweets
Alabama,32.3182,-86.9023,63091,1265,29736.0,32090.0,1286.7350507884164,563115.0,7584.0,2.0050403385585898,11484.677816562093,12.020731958599484,0
Alaska,61.3707,-152.4044,1734,17,697.0,1020.0,237.03258172771328,165414.0,,0.9803921568627452,22611.59600571393,,0
Arizona,33.7298,-111.4312,138523,2583,17184.0,118756.0,1903.1238609771476,764968.0,6402.0,1.864672292687857,10509.654380023292,4.621615183038196,3
Arkansas,34.9697,-92.3731,31762,353,24776.0,6633.0,1052.4871727918712,407497.0,2070.0,1.111390970341918,13503.096953943994,6.51722183741578,0
California,36.1162,-119.6816,373259,7603,,365656.0,944.6671729910008,6044099.0,,2.0369234231458586,15296.782972701889,,35
Colorado,39.0598,-105.3111,39326,1751,4909.0,32666.0,682.8929126113786,424349.0,5966.0,4.452525047042669,7368.78717829746,15.170625031785589,6
Connecticut,41.5978,-72.7554,47893,4396,8466.0,35031.0,1343.3140165153607,629969.0,10654.0,9.178794395840727,17669.51720857255,22.24542208673501,0
Delaware,39.3185,-75.5071,13337,521,7315.0,5501.0,1369.6337100159792,148610.0,,3.9064257329234464,15261.39803894989,,0
Florida,27.7663,-81.6868,327241,4805,,322436.0,1523.6288627614724,2880768.0,20526.0,1.4683367915389576,13412.809738754137,6.272441411681299,3
Georgia,33.0406,-83.6431,135192,3132,,132060.0,1273.3033241682092,1198678.0,14647.0,2.3167051304810937,11289.726330014355,10.834220959820108,3
Hawaii,21.0943,-157.4983,1334,23,975.0,336.0,94.21755638927813,101204.0,138.0,1.7241379310344829,7147.821271979388,10.344827586206897,0
Idaho,44.2405,-114.4788,13753,118,3676.0,9959.0,769.5858852364073,140319.0,554.0,0.8579946193557769,7851.924804078195,4.028212026466953,1
Illinois,40.3495,-88.9861,160509,7465,,153044.0,1266.6608848089,2167474.0,,4.650829548498838,17104.676589102706,,7
Indiana,39.8494,-86.2583,54813,2803,40421.0,11589.0,814.1891997274597,604635.0,7814.0,5.113750387681755,8981.21406923928,14.255742250925875,4
Iowa,42.0115,-93.2105,37903,785,27609.0,9509.0,1201.3362619529835,402453.0,,2.071076168113342,12755.755022867957,,3
Kansas,38.5266,-96.7265,21388,306,983.0,20099.0,734.1467483422659,249353.0,1453.0,1.4307088086777633,8559.084259369227,6.793529081728072,2
Kentucky,37.6681,-84.6701,21605,658,6772.0,14175.0,483.5850788542492,483062.0,2864.0,3.045591298310576,10812.384881346508,13.25619069659801,7
Louisiana,31.1695,-91.8678,88590,3509,53288.0,31793.0,1905.6555313055387,1043940.0,,3.9609436731008016,22456.146690948237,,0
Maine,44.6939,-69.3819,3636,115,3114.0,407.0,270.4930472276694,133445.0,375.0,3.162816281628163,9927.377526759172,10.313531353135314,0
Maryland,39.0639,-76.8021,76371,3359,5286.0,67726.0,1263.2325892207327,708216.0,11728.0,4.398266357648846,11714.414259438145,15.356614421704574,0
Massachusetts,42.2302,-71.5301,112879,8402,95390.0,9087.0,1637.7069404249805,1014587.0,11691.0,7.443368562797332,14720.15318673057,10.357108053756678,0
Michigan,43.3266,-84.5361,80593,6355,53867.0,20371.0,806.990627782094,1425506.0,,7.8853002121772375,14273.820081733424,,4
Minnesota,45.6945,-93.9002,45013,1573,38568.0,4872.0,798.1549150724727,819511.0,4563.0,3.4945460200386558,14531.28502001549,10.137071512674117,5
Mississippi,32.7416,-89.6787,40829,1332,25932.0,13565.0,1371.8735184293528,371464.0,3712.0,3.2623870288275487,12481.364340293447,9.091577065321216,1
Missouri,38.4561,-92.2884,31738,1125,,30613.0,517.1221560562501,537896.0,,3.544646795639297,8764.192427186112,,2
Montana,46.9219,-110.4544,2366,37,992.0,1337.0,221.37431721087074,130404.0,159.0,1.563820794590025,12201.22420184547,6.720202874049027,0
Nebraska,41.1254,-98.2681,22361,301,16501.0,5559.0,1155.9608934619791,226196.0,1453.0,1.3460936451858143,11693.293245271938,6.497920486561424,0
Nevada,38.3135,-117.0554,33295,637,842.0,31816.0,1080.9517440025766,377007.0,,1.9132001802072385,12239.8670716678,,3
New Hampshire,43.4525,-71.5639,6165,395,5188.0,582.0,453.40517212848914,141786.0,670.0,6.407137064071372,10427.657053594476,10.867802108678019,0
New Jersey,40.2989,-74.521,176551,15684,31400.0,129467.0,1987.696727946599,1768928.0,21003.0,8.883552061444002,19915.44878008689,11.896279262082913,1
New Mexico,34.8405,-106.2485,16456,565,6578.0,9313.0,784.8041018127849,443368.0,2312.0,3.433398152649489,21144.690387246646,14.049586776859504,1
New York,42.1657,-74.9481,405551,32463,71970.0,301118.0,2084.7134362701,4999449.0,89995.0,8.004665257883719,25699.40279828459,22.190797211694708,7
North Carolina,35.6301,-79.8064,95570,1623,67124.0,26823.0,911.2245859205552,1343974.0,,1.698231662655645,12814.294774908365,,2
North Dakota,47.5289,-99.784,4792,90,3903.0,799.0,628.8202272256062,129475.0,290.0,1.878130217028381,16990.08742070855,6.0517529215358925,0
Ohio,40.3888,-82.7649,72280,3112,49302.0,19866.0,618.3538510236033,1116124.0,9445.0,4.3054786939679035,9548.416901215662,13.067238516878804,3
Oklahoma,35.5653,-96.9289,24140,445,18766.0,4929.0,610.0625958593075,465044.0,2289.0,1.8434134217067109,11752.524847920293,9.48218724109362,2
Oregon,44.572,-122.0709,13802,254,3199.0,10349.0,327.23709420478326,324195.0,1327.0,1.8403129981162152,7686.46788550353,9.614548616142587,5
Pennsylvania,40.5908,-77.2098,104079,7004,75603.0,21472.0,812.9908563427136,999390.0,,6.729503550187838,7806.52131477382,,2
Rhode Island,41.6809,-71.5118,17793,990,1717.0,15086.0,1679.5974176885877,179201.0,2088.0,5.5639858371269595,16915.952163615613,11.734951947395047,0
South Carolina,33.8569,-80.945,66060,1096,23849.0,41115.0,1283.0388326094633,553375.0,4182.0,1.6590977898879806,10747.829457996695,6.3306085376930055,1
South Dakota,44.2998,-99.4388,7789,116,6808.0,865.0,880.4522420503267,95973.0,763.0,1.4892797534985236,10848.586856630634,9.795865964822186,1
Tennessee,35.7478,-86.6923,73819,815,42734.0,30270.0,1080.9359960662882,1150672.0,3562.0,1.1040518023815007,16849.358355783585,4.825315975561846,1
Texas,31.0545,-97.5635,317768,3820,162191.0,151757.0,1095.907380775911,2767321.0,,1.2021348908637748,9543.84176152468,,8
Utah,40.15,-111.8624,32572,235,19862.0,12475.0,1015.9833659704838,447806.0,1984.0,0.7214785705513939,13967.930958546554,6.091121208399852,2
Vermont,44.0459,-72.7107,1334,56,1121.0,157.0,213.78581994233872,79366.0,,4.197901049475262,12719.13447192178,,0
Virginia,37.7693,-78.17,75433,2013,9883.0,63537.0,883.7541103241642,876704.0,11054.0,2.6685933212254582,10271.244197335862,14.654063871249983,2
Washington,47.4009,-121.4905,45067,1434,,43633.0,591.8270946157746,753174.0,4944.0,3.181929127743138,9890.80214259084,10.970333059666718,3
West Virginia,38.4912,-80.9545,4783,100,3627.0,1056.0,266.88658910234483,222552.0,,2.0907380305247747,12418.177749927881,,0
