Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,Num_Tweets
Alabama,32.3182,-86.9023,68891,1291,29736.0,37864.0,1405.0255089294,593788.0,8368.0,1.8739748298036027,12110.25078596871,12.146724535860994,0
Alaska,61.3707,-152.4044,1950,18,712.0,1220.0,266.5591317007156,175586.0,,0.9230769230769232,24002.07779425736,,0
Arizona,33.7298,-111.4312,145183,2784,18518.0,123881.0,1994.6235030157102,793523.0,6698.0,1.9175798819421008,10901.962529934875,4.613487805046045,2
Arkansas,34.9697,-92.3731,33927,363,26397.0,7167.0,1124.2280810814752,432816.0,2202.0,1.0699442921566893,14342.084509133132,6.490405871429834,1
California,36.1162,-119.6816,397870,7770,,390100.0,1006.9542278094552,6414321.0,,1.9528991881770428,16233.763916548052,,18
Colorado,39.0598,-105.3111,40548,1758,4969.0,33821.0,704.1128469858662,442169.0,6032.0,4.33560224918615,7678.23008382395,14.876196113248493,2
Connecticut,41.5978,-72.7554,48055,4406,8466.0,35183.0,1347.8578302391925,657293.0,10654.0,9.168660909374672,18435.90712332556,22.170429715950476,1
Delaware,39.3185,-75.5071,13624,523,7362.0,5739.0,1399.1069704774466,152995.0,,3.838813857897828,15711.712488857669,,0
Florida,27.7663,-81.6868,360394,5072,,355322.0,1677.9887005786504,3052106.0,21605.0,1.407348624005949,14210.556726716599,5.994827882817138,7
Georgia,33.0406,-83.6431,145582,3177,,142405.0,1371.1613448950845,1273781.0,15047.0,2.1822752812847743,11997.082531231921,10.33575579398552,2
Hawaii,21.0943,-157.4983,1393,24,1043.0,326.0,98.3845997378294,105956.0,150.0,1.7229002153625268,7483.444831171179,10.768126346015793,0
Idaho,44.2405,-114.4788,15268,122,4149.0,10997.0,854.361760764158,147888.0,600.0,0.7990568509300497,8275.468435675255,3.929787791459261,2
Illinois,40.3495,-88.9861,163922,7494,,156428.0,1293.594661730149,2280284.0,,4.571686533839265,17994.919593640094,,1
