Combined_Key,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Num_Tweets
"Abbeville, South Carolina, US",34.22333378,-82.46170658,190,2,0,188.0,774.6565009988992,1.0526315789473684,0.0
"Acadia, Louisiana, US",30.295064899999996,-92.41419698,1696,51,0,1645.0,2733.4998791199937,3.0070754716981134,0.0
"Accomack, Virginia, US",37.76707161,-75.63234615,1052,15,0,1037.0,3255.353385319965,1.4258555133079849,0.0
"Ada, Idaho, US",43.4526575,-116.24155159999998,5900,32,0,5868.0,1225.1161264735135,0.5423728813559322,0.0
"Adair, Iowa, US",41.33075609,-94.47105874,20,0,0,20.0,279.6420581655481,0.0,0.0
"Adair, Kentucky, US",37.10459774,-85.28129668,163,19,0,144.0,848.8699093844391,11.656441717791411,0.0
"Adair, Missouri, US",40.19058551,-92.60078167,107,0,0,107.0,422.2073156295624,0.0,0.0
"Adair, Oklahoma, US",35.88494195,-94.65859267,170,4,0,166.0,765.9727854375056,2.3529411764705883,0.0
"Adams, Colorado, US",39.87432092,-104.3362578,5094,161,0,4933.0,984.4981166207016,3.160581075775422,0.0
"Adams, Idaho, US",44.89333571,-116.4545247,15,0,0,15.0,349.32463903120635,0.0,0.0
"Adams, Illinois, US",39.98815591,-91.18786813,252,1,0,251.0,385.1149996179415,0.3968253968253968,0.0
"Adams, Indiana, US",40.7457653,-84.93671406,57,1,0,56.0,159.32023366967604,1.7543859649122806,0.0
"Adams, Iowa, US",41.02903567,-94.69932645,12,0,0,12.0,333.14825097168233,0.0,0.0
"Adams, Mississippi, US",31.47669768,-91.35326037,408,22,0,386.0,1329.2933242107322,5.3921568627450975,0.0
"Adams, Nebraska, US",40.52449420000001,-98.50117804,316,11,0,305.0,1007.5566750629724,3.4810126582278484,0.0
"Adams, Ohio, US",38.84541072,-83.4718964,34,2,0,32.0,122.75254531013071,5.882352941176472,0.0
"Adams, Pennsylvania, US",39.87140411,-77.21610347,413,15,0,398.0,400.93584055762113,3.6319612590799033,0.0
"Adams, Washington, US",46.98299757,-118.56017340000001,296,0,0,296.0,1481.2590702096786,0.0,0.0
"Adams, Wisconsin, US",43.96974651,-89.76782777,51,2,0,49.0,252.22551928783386,3.92156862745098,0.0
"Addison, Vermont, US",44.03217337,-73.14130877,70,2,0,68.0,190.3363515240504,2.8571428571428568,0.0
"Adjuntas, Puerto Rico, US",18.180117000000006,-66.754367,72,0,0,72.0,369.5529435918492,0.0,0.0
"Aguada, Puerto Rico, US",18.360255,-67.17513100000001,70,0,0,70.0,166.82952405920062,0.0,0.0
"Aguadilla, Puerto Rico, US",18.459681,-67.12081500000001,110,0,0,110.0,180.47876093127041,0.0,0.0
"Aguas Buenas, Puerto Rico, US",18.251619,-66.126806,80,0,0,80.0,279.14442234551103,0.0,0.0
"Aibonito, Puerto Rico, US",18.131361,-66.264131,56,0,0,56.0,216.21621621621625,0.0,0.0
"Aiken, South Carolina, US",33.54338026,-81.63645384,1027,15,0,1012.0,601.034692635423,1.460564751703992,0.0
"Aitkin, Minnesota, US",46.60962049,-93.41168259999999,19,0,0,19.0,119.60216542867936,0.0,0.0
"Alachua, Florida, US",29.67866525,-82.35928158,2619,13,0,2606.0,973.450340651866,0.4963726613211149,0.0
